tag,arm,N,seed,run_kind,template_epochs_completed,header_renewals,nonce_domain_exhaustions,nonce_resets
primary,ND-PC,200,16478255227937338382,physical,108964738584,108964738584,21792947716800,21792947716800
primary,ND-PC-NOLP,200,16478255227937338382,derived,108964738584,108964738584,21792947716800,21792947716800
primary,ND-PW,200,447822293856133746,physical,108964739400,108964739400,108964739400,108964742600
primary,ND-PW-OFFSET,200,447822293856133746,physical,108964739400,108964739400,108964739400,0
primary,ND-PC,200,447822293856133746,physical,108964738583,108964738583,21792947716600,21792947716600
primary,ND-PC-NOLP,200,447822293856133746,derived,108964738583,108964738583,21792947716600,21792947716600
primary,ND-PW,200,9364596802063509215,physical,108964739000,108964739000,108964739000,108964742800
primary,ND-PW-OFFSET,200,9364596802063509215,physical,108964739000,108964739000,108964739000,0
primary,ND-PC,200,9364596802063509215,physical,108964738582,108964738582,21792947716400,21792947716400
primary,ND-PC-NOLP,200,9364596802063509215,derived,108964738582,108964738582,21792947716400,21792947716400
primary,ND-PW,200,6483795830361016413,physical,108964740000,108964740000,108964740000,108964743000
primary,ND-PW-OFFSET,200,6483795830361016413,physical,108964740000,108964740000,108964740000,0
primary,ND-PC,200,6483795830361016413,physical,108964738585,108964738585,21792947717000,21792947717000
primary,ND-PC-NOLP,200,6483795830361016413,derived,108964738585,108964738585,21792947717000,21792947717000
primary,ND-PW,200,13726057523507487050,physical,108964739000,108964739000,108964739000,108964743600
primary,ND-PW-OFFSET,200,13726057523507487050,physical,108964739000,108964739000,108964739000,0
primary,ND-PC,200,13726057523507487050,physical,108964738580,108964738580,21792947716000,21792947716000
primary,ND-PC-NOLP,200,13726057523507487050,derived,108964738580,108964738580,21792947716000,21792947716000
primary,ND-PW,200,592649121540029029,physical,108964739200,108964739200,108964739200,108964743000
primary,ND-PW-OFFSET,200,592649121540029029,physical,108964739200,108964739200,108964739200,0
primary,ND-PC,200,592649121540029029,physical,108964738581,108964738581,21792947716200,21792947716200
primary,ND-PC-NOLP,200,592649121540029029,derived,108964738581,108964738581,21792947716200,21792947716200
primary,ND-PW,200,13234303622947097637,physical,108964739000,108964739000,108964739000,108964743600
primary,ND-PW-OFFSET,200,13234303622947097637,physical,108964739000,108964739000,108964739000,0
primary,ND-PC,200,13234303622947097637,physical,108964738579,108964738579,21792947715800,21792947715800
primary,ND-PC-NOLP,200,13234303622947097637,derived,108964738579,108964738579,21792947715800,21792947715800
primary,ND-PW,200,17788360996555233988,physical,108964739400,108964739400,108964739400,108964742800
primary,ND-PW-OFFSET,200,17788360996555233988,physical,108964739400,108964739400,108964739400,0
primary,ND-PC,200,17788360996555233988,physical,108964738582,108964738582,21792947716400,21792947716400
primary,ND-PC-NOLP,200,17788360996555233988,derived,108964738582,108964738582,21792947716400,21792947716400
primary,ND-PW,300,467376819415377580,physical,163447108800,163447108800,163447108800,163447114800
primary,ND-PW-OFFSET,300,467376819415377580,physical,163447108800,163447108800,163447108800,0
primary,ND-PC,300,467376819415377580,physical,163447107880,163447107880,49034132364000,49034132364000
primary,ND-PC-NOLP,300,467376819415377580,derived,163447107880,163447107880,49034132364000,49034132364000
primary,ND-PW,300,2704408835578762228,physical,163447108800,163447108800,163447108800,163447115700
primary,ND-PW-OFFSET,300,2704408835578762228,physical,163447108800,163447108800,163447108800,0
primary,ND-PC,300,2704408835578762228,physical,163447107874,163447107874,49034132362200,49034132362200
primary,ND-PC-NOLP,300,2704408835578762228,derived,163447107874,163447107874,49034132362200,49034132362200
primary,ND-PW,300,11237067994138084197,physical,163447108500,163447108500,163447108500,163447114500
primary,ND-PW-OFFSET,300,11237067994138084197,physical,163447108500,163447108500,163447108500,0
primary,ND-PC,300,11237067994138084197,physical,163447107877,163447107877,49034132363100,49034132363100
primary,ND-PC-NOLP,300,11237067994138084197,derived,163447107877,163447107877,49034132363100,49034132363100
primary,ND-PW,300,5926412735843326529,physical,163447110300,163447110300,163447110300,163447113900
primary,ND-PW-OFFSET,300,5926412735843326529,physical,163447110300,163447110300,163447110300,0
primary,ND-PC,300,5926412735843326529,physical,163447107882,163447107882,49034132364600,49034132364600
primary,ND-PC-NOLP,300,5926412735843326529,derived,163447107882,163447107882,49034132364600,49034132364600
primary,ND-PW,300,5192363207272324882,physical,163447109400,163447109400,163447109400,163447114800
primary,ND-PW-OFFSET,300,5192363207272324882,physical,163447109400,163447109400,163447109400,0
primary,ND-PC,300,5192363207272324882,physical,163447107877,163447107877,49034132363100,49034132363100
primary,ND-PC-NOLP,300,5192363207272324882,derived,163447107877,163447107877,49034132363100,49034132363100
primary,ND-PW,300,14936110819278713214,physical,163447109100,163447109100,163447109100,163447114500
primary,ND-PW-OFFSET,300,14936110819278713214,physical,163447109100,163447109100,163447109100,0
primary,ND-PC,300,14936110819278713214,physical,163447107876,163447107876,49034132362800,49034132362800
primary,ND-PC-NOLP,300,14936110819278713214,derived,163447107876,163447107876,49034132362800,49034132362800
primary,ND-PW,300,15027284727339452496,physical,163447109700,163447109700,163447109700,163447114200
primary,ND-PW-OFFSET,300,15027284727339452496,physical,163447109700,163447109700,163447109700,0
primary,ND-PC,300,15027284727339452496,physical,163447107879,163447107879,49034132363700,49034132363700
primary,ND-PC-NOLP,300,15027284727339452496,derived,163447107879,163447107879,49034132363700,49034132363700
primary,ND-PW,300,529132900484142986,physical,163447109700,163447109700,163447109700,163447113900
primary,ND-PW-OFFSET,300,529132900484142986,physical,163447109700,163447109700,163447109700,0
primary,ND-PC,300,529132900484142986,physical,163447107880,163447107880,49034132364000,49034132364000
primary,ND-PC-NOLP,300,529132900484142986,derived,163447107880,163447107880,49034132364000,49034132364000
primary,ND-PW,300,8583420154531566926,physical,163447109100,163447109100,163447109100,163447113900
primary,ND-PW-OFFSET,300,8583420154531566926,physical,163447109100,163447109100,163447109100,0
primary,ND-PC,300,8583420154531566926,physical,163447107878,163447107878,49034132363400,49034132363400
primary,ND-PC-NOLP,300,8583420154531566926,derived,163447107878,163447107878,49034132363400,49034132363400
primary,ND-PW,300,16465068975321571430,physical,163447109400,163447109400,163447109400,163447113000
primary,ND-PW-OFFSET,300,16465068975321571430,physical,163447109400,163447109400,163447109400,0
primary,ND-PC,300,16465068975321571430,physical,163447107882,163447107882,49034132364600,49034132364600
primary,ND-PC-NOLP,300,16465068975321571430,derived,163447107882,163447107882,49034132364600,49034132364600
primary,ND-PW,300,1580318165844385263,physical,163447110000,163447110000,163447110000,163447113900
primary,ND-PW-OFFSET,300,1580318165844385263,physical,163447110000,163447110000,163447110000,0
primary,ND-PC,300,1580318165844385263,physical,163447107880,163447107880,49034132364000,49034132364000
primary,ND-PC-NOLP,300,1580318165844385263,derived,163447107880,163447107880,49034132364000,49034132364000
primary,ND-PW,300,860680765458012691,physical,163447107000,163447107000,163447107000,163447116000
primary,ND-PW-OFFSET,300,860680765458012691,physical,163447107000,163447107000,163447107000,0
primary,ND-PC,300,860680765458012691,physical,163447107873,163447107873,49034132361900,49034132361900
primary,ND-PC-NOLP,300,860680765458012691,derived,163447107873,163447107873,49034132361900,49034132361900
primary,ND-PW,300,405674777376978405,physical,163447107900,163447107900,163447107900,163447114500
primary,ND-PW-OFFSET,300,405674777376978405,physical,163447107900,163447107900,163447107900,0
primary,ND-PC,300,405674777376978405,physical,163447107874,163447107874,49034132362200,49034132362200
primary,ND-PC-NOLP,300,405674777376978405,derived,163447107874,163447107874,49034132362200,49034132362200
primary,ND-PW,300,5516199827559636311,physical,163447109100,163447109100,163447109100,163447113900
primary,ND-PW-OFFSET,300,5516199827559636311,physical,163447109100,163447109100,163447109100,0
primary,ND-PC,300,5516199827559636311,physical,163447107878,163447107878,49034132363400,49034132363400
primary,ND-PC-NOLP,300,5516199827559636311,derived,163447107878,163447107878,49034132363400,49034132363400
primary,ND-PW,300,676253669661655881,physical,163447109400,163447109400,163447109400,163447115100
primary,ND-PW-OFFSET,300,676253669661655881,physical,163447109400,163447109400,163447109400,0
primary,ND-PC,300,676253669661655881,physical,163447107876,163447107876,49034132362800,49034132362800
primary,ND-PC-NOLP,300,676253669661655881,derived,163447107876,163447107876,49034132362800,49034132362800
primary,ND-PW,300,4902971022134724746,physical,163447110000,163447110000,163447110000,163447113900
primary,ND-PW-OFFSET,300,4902971022134724746,physical,163447110000,163447110000,163447110000,0
primary,ND-PC,300,4902971022134724746,physical,163447107879,163447107879,49034132363700,49034132363700
primary,ND-PC-NOLP,300,4902971022134724746,derived,163447107879,163447107879,49034132363700,49034132363700
primary,ND-PW,300,7985863793510020389,physical,163447109100,163447109100,163447109100,163447114200
primary,ND-PW-OFFSET,300,7985863793510020389,physical,163447109100,163447109100,163447109100,0
primary,ND-PC,300,7985863793510020389,physical,163447107879,163447107879,49034132363700,49034132363700
