tag,arm,N,seed,run_kind,W_total,hashes_per_block,W_unique_exact_secondary,exact_duplicates_secondary
primary,ND-PC-NOLP,200,529132900484142986,derived,467999988667667187160,3.599999912828209e+19,467999988667667187160,0
primary,ND-PW,200,8583420154531566926,physical,468000000000000000000,3.12e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,8583420154531566926,physical,468000000000000000000,3.12e+19,468000000000000000000,0
primary,ND-PC,200,8583420154531566926,physical,467999988667667187264,3.1199999244511146e+19,467999988667667187264,0
primary,ND-PC-NOLP,200,8583420154531566926,derived,467999988667667187264,3.1199999244511146e+19,467999988667667187264,0
primary,ND-PW,200,16465068975321571430,physical,468000000000000000000,4.254545454545455e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,16465068975321571430,physical,468000000000000000000,4.254545454545455e+19,468000000000000000000,0
primary,ND-PC,200,16465068975321571430,physical,467999988667667187056,4.254545351524247e+19,467999988667667187056,0
primary,ND-PC-NOLP,200,16465068975321571430,derived,467999988667667187056,4.254545351524247e+19,467999988667667187056,0
primary,ND-PW,200,1580318165844385263,physical,468000000000000000000,3.9e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,1580318165844385263,physical,468000000000000000000,3.9e+19,468000000000000000000,0
primary,ND-PC,200,1580318165844385263,physical,467999988667667187160,3.899999905563893e+19,467999988667667187160,0
primary,ND-PC-NOLP,200,1580318165844385263,derived,467999988667667187160,3.899999905563893e+19,467999988667667187160,0
primary,ND-PW,200,860680765458012691,physical,468000000000000000000,1.6137931034482758e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,860680765458012691,physical,468000000000000000000,1.6137931034482758e+19,468000000000000000000,0
primary,ND-PC,200,860680765458012691,physical,467999988667667187888,1.6137930643712662e+19,467999988667667187888,0
primary,ND-PC-NOLP,200,860680765458012691,derived,467999988667667187888,1.6137930643712662e+19,467999988667667187888,0
primary,ND-PW,200,405674777376978405,physical,468000000000000000000,2.2285714285714285e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,405674777376978405,physical,468000000000000000000,2.2285714285714285e+19,468000000000000000000,0
primary,ND-PC,200,405674777376978405,physical,467999988667667187576,2.228571374607939e+19,467999988667667187576,0
primary,ND-PC-NOLP,200,405674777376978405,derived,467999988667667187576,2.228571374607939e+19,467999988667667187576,0
primary,ND-PW,200,5516199827559636311,physical,468000000000000000000,3.12e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,5516199827559636311,physical,468000000000000000000,3.12e+19,468000000000000000000,0
primary,ND-PC,200,5516199827559636311,physical,467999988667667187368,3.1199999244511146e+19,467999988667667187368,0
primary,ND-PC-NOLP,200,5516199827559636311,derived,467999988667667187368,3.1199999244511146e+19,467999988667667187368,0
primary,ND-PW,200,676253669661655881,physical,468000000000000000000,2.6e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,676253669661655881,physical,468000000000000000000,2.6e+19,468000000000000000000,0
primary,ND-PC,200,676253669661655881,physical,467999988667667187264,2.5999999370425954e+19,467999988667667187264,0
primary,ND-PC-NOLP,200,676253669661655881,derived,467999988667667187264,2.5999999370425954e+19,467999988667667187264,0
primary,ND-PW,200,4902971022134724746,physical,468000000000000000000,3.9e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,4902971022134724746,physical,468000000000000000000,3.9e+19,468000000000000000000,0
primary,ND-PC,200,4902971022134724746,physical,467999988667667187472,3.899999905563893e+19,467999988667667187472,0
primary,ND-PC-NOLP,200,4902971022134724746,derived,467999988667667187472,3.899999905563893e+19,467999988667667187472,0
primary,ND-PW,200,7985863793510020389,physical,468000000000000000000,2.925e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,7985863793510020389,physical,468000000000000000000,2.925e+19,468000000000000000000,0
primary,ND-PC,200,7985863793510020389,physical,467999988667667187264,2.92499992917292e+19,467999988667667187264,0
primary,ND-PC-NOLP,200,7985863793510020389,derived,467999988667667187264,2.92499992917292e+19,467999988667667187264,0
primary,ND-PW,200,5259580605389323177,physical,468000000000000000000,2.925e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,5259580605389323177,physical,468000000000000000000,2.925e+19,468000000000000000000,0
primary,ND-PC,200,5259580605389323177,physical,467999988667667187368,2.92499992917292e+19,467999988667667187368,0
primary,ND-PC-NOLP,200,5259580605389323177,derived,467999988667667187368,2.92499992917292e+19,467999988667667187368,0
primary,ND-PW,200,14894895525097951974,physical,468000000000000000000,3.12e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,14894895525097951974,physical,468000000000000000000,3.12e+19,468000000000000000000,0
primary,ND-PC,200,14894895525097951974,physical,467999988667667187264,3.1199999244511146e+19,467999988667667187264,0
primary,ND-PC-NOLP,200,14894895525097951974,derived,467999988667667187264,3.1199999244511146e+19,467999988667667187264,0
primary,ND-PW,200,14255052758501613198,physical,468000000000000000000,1.7333333333333334e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,14255052758501613198,physical,468000000000000000000,1.7333333333333334e+19,468000000000000000000,0
primary,ND-PC,200,14255052758501613198,physical,467999988667667187992,1.7333332913617304e+19,467999988667667187992,0
primary,ND-PC-NOLP,200,14255052758501613198,derived,467999988667667187992,1.7333332913617304e+19,467999988667667187992,0
primary,ND-PW,200,14970427933435388700,physical,468000000000000000000,1.872e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,14970427933435388700,physical,468000000000000000000,1.872e+19,468000000000000000000,0
primary,ND-PC,200,14970427933435388700,physical,467999988667667187784,1.8719999546706686e+19,467999988667667187784,0
primary,ND-PC-NOLP,200,14970427933435388700,derived,467999988667667187784,1.8719999546706686e+19,467999988667667187784,0
primary,ND-PW,200,6530983822519173908,physical,468000000000000000000,1.872e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,6530983822519173908,physical,468000000000000000000,1.872e+19,468000000000000000000,0
primary,ND-PC,200,6530983822519173908,physical,467999988667667187784,1.8719999546706686e+19,467999988667667187784,0
primary,ND-PC-NOLP,200,6530983822519173908,derived,467999988667667187784,1.8719999546706686e+19,467999988667667187784,0
primary,ND-PW,200,16478255227937338382,physical,468000000000000000000,2.6e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,16478255227937338382,physical,468000000000000000000,2.6e+19,468000000000000000000,0
primary,ND-PC,200,16478255227937338382,physical,467999988667667187264,2.5999999370425954e+19,467999988667667187264,0
primary,ND-PC-NOLP,200,16478255227937338382,derived,467999988667667187264,2.5999999370425954e+19,467999988667667187264,0
primary,ND-PW,200,447822293856133746,physical,468000000000000000000,3.12e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,447822293856133746,physical,468000000000000000000,3.12e+19,468000000000000000000,0
primary,ND-PC,200,447822293856133746,physical,467999988667667187368,3.1199999244511146e+19,467999988667667187368,0
primary,ND-PC-NOLP,200,447822293856133746,derived,467999988667667187368,3.1199999244511146e+19,467999988667667187368,0
primary,ND-PW,200,9364596802063509215,physical,468000000000000000000,2.6e+19,468000000000000000000,0
primary,ND-PW-OFFSET,200,9364596802063509215,physical,468000000000000000000,2.6e+19,468000000000000000000,0
