tag,arm,N,seed,run_kind,block_retention,latency_ratio,saving_LP0,energy_per_block_ratio_LP0,saving_LP10,energy_per_block_ratio_LP10,saving_LP25,energy_per_block_ratio_LP25,saving_LP50,energy_per_block_ratio_LP50
primary,ND-PC,200,15027284727339452496,physical,1.0,1.0000000241972866,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070523,1.816078976091262e-08,0.9999999818392104,1.2107193247956616e-08,0.9999999878928069
primary,ND-PC-NOLP,200,15027284727339452496,derived,1.0,1.0000000241972866,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,529132900484142986,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,529132900484142986,physical,1.0,1.0000000242740215,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070522,1.816078976091262e-08,0.9999999818392102,1.2107193247956616e-08,0.9999999878928068
primary,ND-PC-NOLP,200,529132900484142986,derived,1.0,1.0000000242740215,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,8583420154531566926,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,8583420154531566926,physical,1.0,1.0000000241315268,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070522,1.816078976091262e-08,0.9999999818392104,1.2107193247956616e-08,0.9999999878928068
primary,ND-PC-NOLP,200,8583420154531566926,derived,1.0,1.0000000241315268,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,16465068975321571430,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,16465068975321571430,physical,1.0,1.0000000241984255,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070524,1.816078976091262e-08,0.9999999818392105,1.2107193247956616e-08,0.9999999878928069
primary,ND-PC-NOLP,200,16465068975321571430,derived,1.0,1.0000000241984255,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,1580318165844385263,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,1580318165844385263,physical,1.0,1.0000000242128104,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070522,1.816078976091262e-08,0.9999999818392104,1.2107193247956616e-08,0.9999999878928069
primary,ND-PC-NOLP,200,1580318165844385263,derived,1.0,1.0000000242128104,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,860680765458012691,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,860680765458012691,physical,1.0,1.0000000243918452,2.4214386273868627e-08,0.9999999757856136,2.1792947779708527e-08,0.9999999782070522,1.816078976091262e-08,0.9999999818392102,1.2107193247956616e-08,0.9999999878928066
primary,ND-PC-NOLP,200,860680765458012691,derived,1.0,1.0000000243918452,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,405674777376978405,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,405674777376978405,physical,1.0,1.000000024119121,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070523,1.816078976091262e-08,0.9999999818392102,1.2107193247956616e-08,0.9999999878928069
primary,ND-PC-NOLP,200,405674777376978405,derived,1.0,1.000000024119121,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,5516199827559636311,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,5516199827559636311,physical,1.0,1.0000000240792666,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070522,1.816078976091262e-08,0.9999999818392104,1.2107193247956616e-08,0.9999999878928068
primary,ND-PC-NOLP,200,5516199827559636311,derived,1.0,1.0000000240792666,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,676253669661655881,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,676253669661655881,physical,1.0,1.000000024231942,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070522,1.816078976091262e-08,0.9999999818392102,1.2107193247956616e-08,0.9999999878928069
primary,ND-PC-NOLP,200,676253669661655881,derived,1.0,1.000000024231942,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,4902971022134724746,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,4902971022134724746,physical,1.0,1.0000000242810603,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070522,1.816078976091262e-08,0.9999999818392104,1.2107193247956616e-08,0.9999999878928069
primary,ND-PC-NOLP,200,4902971022134724746,derived,1.0,1.0000000242810603,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,7985863793510020389,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,7985863793510020389,physical,1.0,1.0000000241781968,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070522,1.816078976091262e-08,0.9999999818392102,1.2107193247956616e-08,0.9999999878928068
primary,ND-PC-NOLP,200,7985863793510020389,derived,1.0,1.0000000241781968,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,5259580605389323177,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,5259580605389323177,physical,1.0,1.000000024289102,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070522,1.816078976091262e-08,0.9999999818392102,1.2107193247956616e-08,0.9999999878928068
primary,ND-PC-NOLP,200,5259580605389323177,derived,1.0,1.000000024289102,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,14894895525097951974,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,14894895525097951974,physical,1.0,1.0000000242724716,2.4214386273868627e-08,0.9999999757856137,2.1792947779708527e-08,0.9999999782070522,1.816078976091262e-08,0.9999999818392104,1.2107193247956616e-08,0.9999999878928068
primary,ND-PC-NOLP,200,14894895525097951974,derived,1.0,1.0000000242724716,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,14255052758501613198,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PC,200,14255052758501613198,physical,1.0,1.0000000244158662,2.4214386273868627e-08,0.9999999757856136,2.1792947779708527e-08,0.9999999782070522,1.816078976091262e-08,0.9999999818392102,1.2107193247956616e-08,0.9999999878928068
primary,ND-PC-NOLP,200,14255052758501613198,derived,1.0,1.0000000244158662,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
primary,ND-PW-OFFSET,200,14970427933435388700,physical,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
