tag,arm,N,seed,run_kind,per_miner_domain_size,per_miner_domain_size_max,C_nonce,U_nonce_run,R_nonce,rho_nonce,cross_miner_m_max,cross_miner_M_ge2,rho_exact_secondary,domain_sweeps_per_miner
primary,ND-PC,100,17788360996555233988,physical,42949672,42949673,233999999782070517780,4294967296,233999999777775550484,0.9999999999816455,1,0,0.0,544823705.55
primary,ND-PC-NOLP,100,17788360996555233988,derived,42949672,42949673,233999999782070517780,4294967296,233999999777775550484,0.9999999999816455,1,0,0.0,544823705.55
primary,ND-PW,200,467376819415377580,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823696.0
primary,ND-PW-OFFSET,200,467376819415377580,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823696.0
primary,ND-PC,200,467376819415377580,physical,21474836,21474837,467999988667667187576,4294967296,467999988663372220280,0.9999999999908227,1,0,0.0,544823692.905
primary,ND-PC-NOLP,200,467376819415377580,derived,21474836,21474837,467999988667667187576,4294967296,467999988663372220280,0.9999999999908227,1,0,0.0,544823692.905
primary,ND-PW,200,2704408835578762228,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823696.0
primary,ND-PW-OFFSET,200,2704408835578762228,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823696.0
primary,ND-PC,200,2704408835578762228,physical,21474836,21474837,467999988667667187784,4294967296,467999988663372220488,0.9999999999908227,1,0,0.0,544823692.895
primary,ND-PC-NOLP,200,2704408835578762228,derived,21474836,21474837,467999988667667187784,4294967296,467999988663372220488,0.9999999999908227,1,0,0.0,544823692.895
primary,ND-PW,200,11237067994138084197,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823695.0
primary,ND-PW-OFFSET,200,11237067994138084197,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823695.0
primary,ND-PC,200,11237067994138084197,physical,21474836,21474837,467999988667667187264,4294967296,467999988663372219968,0.9999999999908227,1,0,0.0,544823692.92
primary,ND-PC-NOLP,200,11237067994138084197,derived,21474836,21474837,467999988667667187264,4294967296,467999988663372219968,0.9999999999908227,1,0,0.0,544823692.92
primary,ND-PW,200,5926412735843326529,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823701.0
primary,ND-PW-OFFSET,200,5926412735843326529,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823701.0
primary,ND-PC,200,5926412735843326529,physical,21474836,21474837,467999988667667187056,4294967296,467999988663372219760,0.9999999999908227,1,0,0.0,544823692.93
primary,ND-PC-NOLP,200,5926412735843326529,derived,21474836,21474837,467999988667667187056,4294967296,467999988663372219760,0.9999999999908227,1,0,0.0,544823692.93
primary,ND-PW,200,5192363207272324882,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823698.0
primary,ND-PW-OFFSET,200,5192363207272324882,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823698.0
primary,ND-PC,200,5192363207272324882,physical,21474836,21474837,467999988667667187160,4294967296,467999988663372219864,0.9999999999908227,1,0,0.0,544823692.925
primary,ND-PC-NOLP,200,5192363207272324882,derived,21474836,21474837,467999988667667187160,4294967296,467999988663372219864,0.9999999999908227,1,0,0.0,544823692.925
primary,ND-PW,200,14936110819278713214,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823697.0
primary,ND-PW-OFFSET,200,14936110819278713214,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823697.0
primary,ND-PC,200,14936110819278713214,physical,21474836,21474837,467999988667667187576,4294967296,467999988663372220280,0.9999999999908227,1,0,0.0,544823692.905
primary,ND-PC-NOLP,200,14936110819278713214,derived,21474836,21474837,467999988667667187576,4294967296,467999988663372220280,0.9999999999908227,1,0,0.0,544823692.905
primary,ND-PW,200,15027284727339452496,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823699.0
primary,ND-PW-OFFSET,200,15027284727339452496,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823699.0
primary,ND-PC,200,15027284727339452496,physical,21474836,21474837,467999988667667187264,4294967296,467999988663372219968,0.9999999999908227,1,0,0.0,544823692.92
primary,ND-PC-NOLP,200,15027284727339452496,derived,21474836,21474837,467999988667667187264,4294967296,467999988663372219968,0.9999999999908227,1,0,0.0,544823692.92
primary,ND-PW,200,529132900484142986,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823699.0
primary,ND-PW-OFFSET,200,529132900484142986,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823699.0
primary,ND-PC,200,529132900484142986,physical,21474836,21474837,467999988667667187160,4294967296,467999988663372219864,0.9999999999908227,1,0,0.0,544823692.925
primary,ND-PC-NOLP,200,529132900484142986,derived,21474836,21474837,467999988667667187160,4294967296,467999988663372219864,0.9999999999908227,1,0,0.0,544823692.925
primary,ND-PW,200,8583420154531566926,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823697.0
primary,ND-PW-OFFSET,200,8583420154531566926,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823697.0
primary,ND-PC,200,8583420154531566926,physical,21474836,21474837,467999988667667187264,4294967296,467999988663372219968,0.9999999999908227,1,0,0.0,544823692.92
primary,ND-PC-NOLP,200,8583420154531566926,derived,21474836,21474837,467999988667667187264,4294967296,467999988663372219968,0.9999999999908227,1,0,0.0,544823692.92
primary,ND-PW,200,16465068975321571430,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823698.0
primary,ND-PW-OFFSET,200,16465068975321571430,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823698.0
primary,ND-PC,200,16465068975321571430,physical,21474836,21474837,467999988667667187056,4294967296,467999988663372219760,0.9999999999908227,1,0,0.0,544823692.93
primary,ND-PC-NOLP,200,16465068975321571430,derived,21474836,21474837,467999988667667187056,4294967296,467999988663372219760,0.9999999999908227,1,0,0.0,544823692.93
primary,ND-PW,200,1580318165844385263,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823700.0
primary,ND-PW-OFFSET,200,1580318165844385263,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823700.0
primary,ND-PC,200,1580318165844385263,physical,21474836,21474837,467999988667667187160,4294967296,467999988663372219864,0.9999999999908227,1,0,0.0,544823692.925
primary,ND-PC-NOLP,200,1580318165844385263,derived,21474836,21474837,467999988667667187160,4294967296,467999988663372219864,0.9999999999908227,1,0,0.0,544823692.925
primary,ND-PW,200,860680765458012691,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823690.0
primary,ND-PW-OFFSET,200,860680765458012691,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823690.0
primary,ND-PC,200,860680765458012691,physical,21474836,21474837,467999988667667187888,4294967296,467999988663372220592,0.9999999999908227,1,0,0.0,544823692.89
primary,ND-PC-NOLP,200,860680765458012691,derived,21474836,21474837,467999988667667187888,4294967296,467999988663372220592,0.9999999999908227,1,0,0.0,544823692.89
primary,ND-PW,200,405674777376978405,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823693.0
primary,ND-PW-OFFSET,200,405674777376978405,physical,4294967296,4294967296,468000000000000000000,4294967296,467999999995705032704,0.9999999999908227,200,4294967296,0.0,544823693.0
