tag,arm,N,seed,run_kind,rounds,accepted_blocks,W_total,t_active_miner_s,t_low_miner_s,F_low,state_time_conservation_rel,work_identity_rel
primary,ND-PW,200,405674777376978405,physical,22,21,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,405674777376978405,physical,22,21,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,405674777376978405,physical,22,21,467999988667667187576,1999999.9515712273,0.04842877270266667,2.4214386351333333e-08,0.0,0.0
primary,ND-PC-NOLP,200,405674777376978405,derived,22,21,467999988667667187576,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,5516199827559636311,physical,16,15,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,5516199827559636311,physical,16,15,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,5516199827559636311,physical,16,15,467999988667667187368,1999999.9515712273,0.048428772703555556,2.4214386351777777e-08,0.0,0.0
primary,ND-PC-NOLP,200,5516199827559636311,derived,16,15,467999988667667187368,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,676253669661655881,physical,19,18,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,676253669661655881,physical,19,18,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,676253669661655881,physical,19,18,467999988667667187264,1999999.9515712273,0.048428772704,2.4214386352e-08,0.0,0.0
primary,ND-PC-NOLP,200,676253669661655881,derived,19,18,467999988667667187264,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,4902971022134724746,physical,13,12,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,4902971022134724746,physical,13,12,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,4902971022134724746,physical,13,12,467999988667667187472,1999999.9515712273,0.04842877270311111,2.4214386351555557e-08,0.0,0.0
primary,ND-PC-NOLP,200,4902971022134724746,derived,13,12,467999988667667187472,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,7985863793510020389,physical,17,16,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,7985863793510020389,physical,17,16,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,7985863793510020389,physical,17,16,467999988667667187264,1999999.9515712273,0.048428772704,2.4214386352e-08,0.0,0.0
primary,ND-PC-NOLP,200,7985863793510020389,derived,17,16,467999988667667187264,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,5259580605389323177,physical,17,16,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,5259580605389323177,physical,17,16,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,5259580605389323177,physical,17,16,467999988667667187368,1999999.9515712273,0.048428772703555556,2.4214386351777777e-08,0.0,0.0
primary,ND-PC-NOLP,200,5259580605389323177,derived,17,16,467999988667667187368,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,14894895525097951974,physical,16,15,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,14894895525097951974,physical,16,15,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,14894895525097951974,physical,16,15,467999988667667187264,1999999.9515712273,0.048428772704,2.4214386352e-08,0.0,0.0
primary,ND-PC-NOLP,200,14894895525097951974,derived,16,15,467999988667667187264,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,14255052758501613198,physical,28,27,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,14255052758501613198,physical,28,27,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,200,14255052758501613198,physical,28,27,467999988667667187992,1999999.9515712273,0.04842877270088889,2.4214386350444445e-08,0.0,0.0
primary,ND-PC-NOLP,200,14255052758501613198,derived,28,27,467999988667667187992,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,200,14970427933435388700,physical,26,25,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,200,14970427933435388700,physical,26,25,468000000000000000000,2000000.0,0.0,0.0,0.0,0.0
