N,boot_ci_high,boot_ci_low,cohens_d,comparison,hardware,mean_diff,median_diff,metric,n,other_mean,pocol_mean,tost_ci_high,tost_ci_low,tost_equivalent,tost_margin,tost_mean_diff
300,nan,nan,nan,pocol_minus_common_template_duplicate_baseline,H2,nan,nan,mean_block_interval_s,0,nan,602.2718744276656,,,,,
300,17.99,16.31,4.141967851117682,pocol_minus_common_template_duplicate_baseline,H2,17.13,17.0,accepted_blocks,100,0.04,17.17,,,,,
300,-66.56,-286.72,-0.3250942548089768,pocol_minus_common_template_duplicate_baseline,H2,-179.2,0.0,total_attempts,100,4.3145999999999985e+18,4.3146e+18,,,,,
300,3.552713678800501e-16,-8.881784197001252e-16,-0.07762305371003607,pocol_minus_independent_header_pow,H2,-2.486899575160351e-16,0.0,total_energy_kwh,100,25.767749999999996,25.767749999999996,2.486899575160351e-16,-7.815970093361102e-16,True,0.25767749999999995,-2.486899575160351e-16
300,0.10485520117990069,-0.1781663306370451,-0.05218025505866671,pocol_minus_independent_header_pow,H2,-0.03752732237628411,-0.10071656638198778,energy_per_accepted_block_kwh,100,1.6532643615858302,1.615737039209546,,,,,
300,48.886093036067905,-58.76029374070547,-0.021596413638403478,pocol_minus_independent_header_pow,H2,-5.812415818753034,-35.75962862634941,mean_block_interval_s,100,608.0842902464186,602.2718744276656,,,,,
300,1.8102499999999986,-0.71,0.09476645760623453,pocol_minus_independent_header_pow,H2,0.58,1.0,accepted_blocks,100,16.59,17.17,,,,,
300,133.12,-143.36,-0.014438314998204114,pocol_minus_independent_header_pow,H2,-10.24,0.0,total_attempts,100,4.3145999999999995e+18,4.3146e+18,,,,,
400,2.7000623958883807e-15,1.3500311979441904e-15,0.5667965050577636,pocol_minus_common_template_duplicate_baseline,H2,1.9895196601282807e-15,0.0,total_energy_kwh,100,34.35699999999999,34.35699999999999,,,,,
400,-31.714153846153845,-32.72095238095239,-62.01816031132224,pocol_minus_common_template_duplicate_baseline,H2,-32.29446133496134,-32.44827777777778,energy_per_accepted_block_kwh,3,34.357000000000006,2.10192759405362,,,,,
400,nan,nan,nan,pocol_minus_common_template_duplicate_baseline,H2,nan,nan,mean_block_interval_s,0,nan,586.4840326173311,,,,,
400,18.02,16.5,4.534417327401648,pocol_minus_common_template_duplicate_baseline,H2,17.25,17.0,accepted_blocks,100,0.03,17.28,,,,,
400,-204.5440000000014,-460.8,-0.4927054096411518,pocol_minus_common_template_duplicate_baseline,H2,-327.68,0.0,total_attempts,100,5.7528e+18,5.7528e+18,,,,,
400,8.526512829121202e-16,-8.526512829121202e-16,0.0,pocol_minus_independent_header_pow,H2,0.0,0.0,total_energy_kwh,100,34.357,34.35699999999999,7.105427357601002e-16,-7.105427357601002e-16,True,0.34357,0.0
400,0.09709850050397754,-0.20373598420537178,-0.07037976755158944,pocol_minus_independent_header_pow,H2,-0.05418729386396723,-0.1561681818181817,energy_per_accepted_block_kwh,100,2.1561148879175875,2.10192759405362,,,,,
400,36.96405217714581,-51.24894339610716,-0.03810206061519287,pocol_minus_independent_header_pow,H2,-8.693198388492307,-40.350136080669216,mean_block_interval_s,100,595.1772310058234,586.4840326173311,,,,,
400,1.57,-0.62,0.08629550449570599,pocol_minus_independent_header_pow,H2,0.48,1.5,accepted_blocks,100,16.8,17.28,,,,,
400,-20.48,-450.56,-0.21274530595554575,pocol_minus_independent_header_pow,H2,-235.52,0.0,total_attempts,100,5.7528e+18,5.7528e+18,,,,,
500,2.7000623958883807e-15,8.526512829121202e-16,0.3896671538602478,pocol_minus_common_template_duplicate_baseline,H2,1.7763568394002505e-15,0.0,total_energy_kwh,100,42.946250000000006,42.94625,,,,,
500,-39.878660714285715,-39.878660714285715,nan,pocol_minus_common_template_duplicate_baseline,H2,-39.878660714285715,-39.878660714285715,energy_per_accepted_block_kwh,2,42.94625,2.6459271229557855,,,,,
500,nan,nan,nan,pocol_minus_common_template_duplicate_baseline,H2,nan,nan,mean_block_interval_s,0,nan,595.3733616697306,,,,,
500,17.95,16.42,4.539827984916492,pocol_minus_common_template_duplicate_baseline,H2,17.17,17.0,accepted_blocks,100,0.02,17.19,,,,,
500,-173.8240000000014,-501.76,-0.39263288698427423,pocol_minus_common_template_duplicate_baseline,H2,-327.68,0.0,total_attempts,100,7.191000000000001e+18,7.191000000000001e+18,,,,,
500,1.4921397450962103e-15,-8.526512829121202e-16,0.04695636034961453,pocol_minus_independent_header_pow,H2,2.842170943040401e-16,0.0,total_energy_kwh,100,42.94625,42.94625,1.2789769243681803e-15,-7.105427357601002e-16,True,0.4294625,2.842170943040401e-16
500,0.23137899747796903,-0.20174694189830067,0.011891633247020934,pocol_minus_independent_header_pow,H2,0.013012547651422684,-2.220446049250313e-16,energy_per_accepted_block_kwh,100,2.6329145753043623,2.6459271229557855,,,,,
500,65.1996245924846,-38.14235964110191,0.0428714169532351,pocol_minus_independent_header_pow,H2,11.054767566622191,3.317070257877731,mean_block_interval_s,100,584.3185941031084,595.3733616697306,,,,,
500,1.02,-1.35,-0.022224575653144667,pocol_minus_independent_header_pow,H2,-0.13,0.0,accepted_blocks,100,17.32,17.19,,,,,
500,112.64,-317.44,-0.08829085791038153,pocol_minus_independent_header_pow,H2,-102.4,0.0,total_attempts,100,7.191000000000001e+18,7.191000000000001e+18,,,,,
