protocol,n_miners,seed,config_hash,sim_time,aggregate_hashrate_THs,aggregate_power_W,energy_kWh,co2_kg,created_blocks,accepted_main_blocks,stale_blocks,stale_rate_pct,accepted_block_interval_s,created_block_interval_s,throughput_tx_per_s,confirmation_time_6blk_s,energy_per_accepted_block_kWh,energy_per_tx_kWh,total_hashes,active_mining_time_s,exhausted_rounds,_cmd
PoCol,200,28,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,18,18,0,0.0,555.632487400372,555.5555555555555,3.2968,3333.794924402232,0.46782407407407284,0.00025542445199385193,1.4100000000000003e+18,2000000.0,2,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 28
PoCol,200,29,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,18,18,0,0.0,473.5809473014658,555.5555555555555,3.3277,2841.485683808795,0.46782407407407284,0.00025305265899369867,1.41e+18,2000000.0,3,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 29
PoCol,200,30,91165884f617551f,10000.0,141.0,3031.4999999999905,8.420833333333311,3.7472708333333444,14,14,0,0.0,670.8995800160809,714.2857142857143,2.5513,4025.397480096485,0.6014880952380937,0.0003300604920367386,1.4099999999999997e+18,2000000.0,2,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 200 30
PoCol,300,1,ba9649cc2ba5d2d6,10000.0,141.0,3031.5000000000045,8.420833333333293,3.7472708333333586,18,18,0,0.0,535.7700535365789,555.5555555555555,3.302,3214.620321219473,0.46782407407407184,0.000255022208762365,1.41e+18,3000000.0,3,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 300 1
PoCol,300,2,ba9649cc2ba5d2d6,10000.0,141.0,3031.5000000000045,8.420833333333293,3.7472708333333586,7,7,0,0.0,1577.277067625226,1428.5714285714287,1.2999,9463.662405751356,1.2029761904761849,0.0006478062415057538,1.4099999999999997e+18,3000000.0,6,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 300 2
PoCol,300,3,ba9649cc2ba5d2d6,10000.0,141.0,3031.5000000000045,8.420833333333293,3.7472708333333586,16,16,0,0.0,621.0479372273136,625.0,2.9507,3726.2876233638817,0.5263020833333308,0.00028538425910235856,1.41e+18,3000000.0,1,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 300 3
PoCol,300,4,ba9649cc2ba5d2d6,10000.0,141.0,3031.5000000000045,8.420833333333293,3.7472708333333586,15,15,0,0.0,542.6670470242099,666.6666666666666,2.7577,3256.0022821452594,0.5613888888888863,0.0003053571212725566,1.4100000000000003e+18,3000000.0,3,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 300 4
PoCol,300,5,ba9649cc2ba5d2d6,10000.0,141.0,3031.5000000000045,8.420833333333293,3.7472708333333586,15,15,0,0.0,705.3818190399445,666.6666666666666,2.7649,4232.2909142396675,0.5613888888888863,0.0003045619491964734,1.4100000000000003e+18,3000000.0,4,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 300 5
PoCol,300,6,ba9649cc2ba5d2d6,10000.0,141.0,3031.5000000000045,8.420833333333293,3.7472708333333586,12,12,0,0.0,866.6028603210649,833.3333333333334,2.2083,5199.61716192639,0.7017361111111078,0.00038132651058883724,1.4099999999999997e+18,3000000.0,5,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 300 6
PoCol,300,7,ba9649cc2ba5d2d6,10000.0,141.0,3031.5000000000045,8.420833333333293,3.7472708333333586,10,10,0,0.0,987.9512054725603,1000.0,1.8384,5927.707232835362,0.8420833333333293,0.00045805229184798157,1.41e+18,3000000.0,4,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 300 7
