time_s,H_effective,H_pipeline,floor_threshold,live_activation_requests,waking_miners,active_hashing_miners,accepted_block_event,round_boundary
76.814167,0.0,0.0,3200.0,0,0,0,1,1
77.814167,4000.0,4000.0,3200.0,0,0,16,0,0
78.014167,2400.0,3200.0,3200.0,3,3,12,0,0
78.064167,0.0,0.0,3200.0,0,0,0,1,1
79.064167,4000.0,4000.0,3200.0,0,0,16,0,0
79.264167,2400.0,3200.0,3200.0,3,3,12,0,0
79.314167,2100.0,2900.0,3200.0,3,3,9,0,0
79.330833,900.0,1900.0,3200.0,4,4,5,0,0
79.464167,100.0,1100.0,3200.0,4,4,1,0,0
79.524167,0.0,0.0,3200.0,0,0,0,1,1
80.524167,4000.0,4000.0,3200.0,0,0,16,0,0
80.724167,2400.0,3200.0,3200.0,3,3,12,0,0
80.790833,1200.0,2200.0,3200.0,4,4,8,0,0
80.924167,400.0,1400.0,3200.0,4,4,4,0,0
81.324167,0.0,1000.0,3200.0,4,4,0,0,0
81.724167,800.0,1000.0,3200.0,1,1,3,0,0
81.790833,1000.0,1000.0,3200.0,0,0,4,0,0
81.924167,600.0,600.0,3200.0,0,0,3,0,0
81.990833,300.0,300.0,3200.0,0,0,2,0,0
82.190833,100.0,100.0,3200.0,0,0,1,0,0
82.524167,0.0,0.0,3200.0,0,0,0,0,1
83.521667,400.0,400.0,3200.0,0,0,1,0,0
83.584167,0.0,0.0,3200.0,0,0,0,1,1
84.584167,4000.0,4000.0,3200.0,0,0,16,0,0
84.784167,2400.0,3200.0,3200.0,3,3,12,0,0
84.850833,1200.0,2200.0,3200.0,4,4,8,0,0
84.984167,400.0,1400.0,3200.0,4,4,4,0,0
85.384167,0.0,1000.0,3200.0,4,4,0,0,0
85.784167,800.0,1000.0,3200.0,1,1,3,0,0
85.850833,1000.0,1000.0,3200.0,0,0,4,0,0
85.984167,600.0,600.0,3200.0,0,0,3,0,0
86.050833,300.0,300.0,3200.0,0,0,2,0,0
86.250833,100.0,100.0,3200.0,0,0,1,0,0
86.584167,0.0,0.0,3200.0,0,0,0,0,1
87.534167,400.0,400.0,3200.0,0,0,1,0,0
87.596667,0.0,0.0,3200.0,0,0,0,1,1
88.596667,4000.0,4000.0,3200.0,0,0,16,0,0
88.796667,2400.0,3200.0,3200.0,3,3,12,0,0
88.863333,1200.0,2200.0,3200.0,4,4,8,0,0
88.996667,400.0,1400.0,3200.0,4,4,4,0,0
89.396667,0.0,1000.0,3200.0,4,4,0,0,0
89.796667,800.0,1000.0,3200.0,1,1,3,0,0
89.863333,1000.0,1000.0,3200.0,0,0,4,0,0
89.996667,600.0,600.0,3200.0,0,0,3,0,0
90.063333,300.0,300.0,3200.0,0,0,2,0,0
90.263333,100.0,100.0,3200.0,0,0,1,0,0
90.596667,0.0,0.0,3200.0,0,0,0,0,1
91.596667,3600.0,3600.0,3200.0,0,0,12,0,0
91.721667,2800.0,2800.0,3200.0,0,0,8,0,0
91.763333,1900.0,1900.0,3200.0,0,0,5,0,0
91.784167,300.0,300.0,3200.0,0,0,1,0,0
91.786667,0.0,0.0,3200.0,0,0,0,1,1
92.721667,200.0,200.0,3200.0,0,0,1,0,0
92.846667,0.0,0.0,3200.0,0,0,0,1,1
93.846667,4000.0,4000.0,3200.0,0,0,16,0,0
94.046667,2400.0,3200.0,3200.0,3,3,12,0,0
94.096667,1400.0,2200.0,3200.0,3,3,5,0,0
94.113333,200.0,1200.0,3200.0,4,4,1,0,0
94.211667,0.0,0.0,3200.0,0,0,0,1,1
95.211667,4000.0,4000.0,3200.0,0,0,16,0,0
95.411667,2400.0,3200.0,3200.0,3,3,12,0,0
95.478333,1200.0,2200.0,3200.0,4,4,8,0,0
95.611667,400.0,1400.0,3200.0,4,4,4,0,0
96.011667,0.0,1000.0,3200.0,4,4,0,0,0
96.411667,800.0,1000.0,3200.0,1,1,3,0,0
96.478333,1000.0,1000.0,3200.0,0,0,4,0,0
96.611667,600.0,600.0,3200.0,0,0,3,0,0
96.661667,500.0,500.0,3200.0,0,0,2,0,0
96.678333,200.0,200.0,3200.0,0,0,1,0,0
96.768333,0.0,0.0,3200.0,0,0,0,1,1
97.718333,200.0,200.0,3200.0,0,0,1,0,0
97.768333,1800.0,1800.0,3200.0,0,0,5,0,0
97.830833,200.0,200.0,3200.0,0,0,1,0,0
97.843333,0.0,0.0,3200.0,0,0,0,1,1
98.753333,200.0,200.0,3200.0,0,0,1,0,0
98.878333,0.0,0.0,3200.0,0,0,0,1,1
99.878333,4000.0,4000.0,3200.0,0,0,16,0,0
100.078333,2400.0,3200.0,3200.0,3,3,12,0,0
100.128333,1300.0,2100.0,3200.0,3,3,5,0,0
100.145000,100.0,1100.0,3200.0,4,4,1,0,0
100.218333,0.0,0.0,3200.0,0,0,0,1,1
101.028333,100.0,100.0,3200.0,0,0,1,0,0
101.278333,0.0,0.0,3200.0,0,0,0,1,1
102.278333,4000.0,4000.0,3200.0,0,0,16,0,0
102.478333,2400.0,3200.0,3200.0,3,3,12,0,0
102.545000,1200.0,2200.0,3200.0,4,4,8,0,0
102.678333,400.0,1400.0,3200.0,4,4,4,0,0
103.078333,0.0,1000.0,3200.0,4,4,0,0,0
103.478333,800.0,1000.0,3200.0,1,1,3,0,0
103.545000,1000.0,1000.0,3200.0,0,0,4,0,0
103.678333,600.0,600.0,3200.0,0,0,3,0,0
103.745000,300.0,300.0,3200.0,0,0,2,0,0
103.945000,100.0,100.0,3200.0,0,0,1,0,0
104.278333,0.0,0.0,3200.0,0,0,0,0,1
105.278333,4000.0,4000.0,3200.0,0,0,16,0,0
105.478333,2400.0,3200.0,3200.0,3,3,12,0,0
105.528333,1400.0,2200.0,3200.0,3,3,5,0,0
105.545000,200.0,1200.0,3200.0,4,4,1,0,0
105.553333,0.0,0.0,3200.0,0,0,0,1,1
106.553333,4000.0,4000.0,3200.0,0,0,16,0,0
106.753333,2400.0,3200.0,3200.0,3,3,12,0,0
106.803333,200.0,1000.0,3200.0,3,3,1,0,0
106.808333,0.0,0.0,3200.0,0,0,0,1,1
107.808333,3600.0,3600.0,3200.0,0,0,12,0,0
107.933333,2800.0,2800.0,3200.0,0,0,8,0,0
107.975000,1600.0,1600.0,3200.0,0,0,4,0,0
108.008333,0.0,0.0,3200.0,0,0,0,1,1
108.941667,300.0,300.0,3200.0,0,0,1,0,0
109.025000,0.0,0.0,3200.0,0,0,0,1,1
110.021667,300.0,300.0,3200.0,0,0,1,0,0
110.025000,1900.0,1900.0,3200.0,0,0,5,0,0
110.087500,300.0,300.0,3200.0,0,0,1,0,0
110.105000,0.0,0.0,3200.0,0,0,0,1,1
111.105000,4000.0,4000.0,3200.0,0,0,16,0,0
111.305000,2400.0,3200.0,3200.0,3,3,12,0,0
111.371667,1200.0,2200.0,3200.0,4,4,8,0,0
111.505000,400.0,1400.0,3200.0,4,4,4,0,0
111.905000,0.0,1000.0,3200.0,4,4,0,0,0
112.305000,700.0,900.0,3200.0,1,1,2,0,0
112.371667,700.0,700.0,3200.0,0,0,2,0,0
112.471667,400.0,400.0,3200.0,0,0,1,0,0
112.475000,0.0,0.0,3200.0,0,0,0,1,1
113.475000,4000.0,4000.0,3200.0,0,0,16,0,0
113.675000,2400.0,3200.0,3200.0,3,3,12,0,0
113.741667,1200.0,2200.0,3200.0,4,4,8,0,0
113.875000,400.0,1400.0,3200.0,4,4,4,0,0
114.275000,0.0,1000.0,3200.0,4,4,0,0,0
114.675000,800.0,1000.0,3200.0,1,1,3,0,0
114.741667,1000.0,1000.0,3200.0,0,0,4,0,0
114.875000,600.0,600.0,3200.0,0,0,3,0,0
114.941667,300.0,300.0,3200.0,0,0,2,0,0
115.141667,100.0,100.0,3200.0,0,0,1,0,0
115.475000,0.0,0.0,3200.0,0,0,0,0,1
116.475000,4000.0,4000.0,3200.0,0,0,16,0,0
116.675000,2400.0,3200.0,3200.0,3,3,12,0,0
116.741667,1200.0,2200.0,3200.0,4,4,8,0,0
116.875000,400.0,1400.0,3200.0,4,4,4,0,0
117.275000,0.0,1000.0,3200.0,4,4,0,0,0
117.675000,800.0,1000.0,3200.0,1,1,3,0,0
117.741667,1000.0,1000.0,3200.0,0,0,4,0,0
117.875000,600.0,600.0,3200.0,0,0,3,0,0
117.941667,300.0,300.0,3200.0,0,0,2,0,0
118.141667,100.0,100.0,3200.0,0,0,1,0,0
118.475000,0.0,0.0,3200.0,0,0,0,0,1
119.475000,3600.0,3600.0,3200.0,0,0,12,0,0
119.558333,2400.0,2400.0,3200.0,0,0,8,0,0
119.600000,400.0,400.0,3200.0,0,0,1,0,0
119.625000,0.0,0.0,3200.0,0,0,0,1,1
120.435000,100.0,100.0,3200.0,0,0,1,0,0
120.685000,0.0,0.0,3200.0,0,0,0,1,1
121.685000,4000.0,4000.0,3200.0,0,0,16,0,0
121.885000,2400.0,3200.0,3200.0,3,3,12,0,0
121.951667,1200.0,2200.0,3200.0,4,4,8,0,0
122.085000,400.0,1400.0,3200.0,4,4,4,0,0
122.485000,0.0,1000.0,3200.0,4,4,0,0,0
122.885000,800.0,1000.0,3200.0,1,1,3,0,0
122.951667,1000.0,1000.0,3200.0,0,0,4,0,0
123.085000,600.0,600.0,3200.0,0,0,3,0,0
123.151667,300.0,300.0,3200.0,0,0,2,0,0
123.351667,100.0,100.0,3200.0,0,0,1,0,0
123.685000,0.0,0.0,3200.0,0,0,0,0,1
124.685000,4000.0,4000.0,3200.0,0,0,16,0,0
124.885000,2400.0,3200.0,3200.0,3,3,12,0,0
124.951667,1200.0,2200.0,3200.0,4,4,8,0,0
125.085000,400.0,1400.0,3200.0,4,4,4,0,0
125.485000,0.0,1000.0,3200.0,4,4,0,0,0
125.885000,800.0,1000.0,3200.0,1,1,3,0,0
125.951667,1000.0,1000.0,3200.0,0,0,4,0,0
126.085000,600.0,600.0,3200.0,0,0,3,0,0
126.151667,300.0,300.0,3200.0,0,0,2,0,0
126.351667,100.0,100.0,3200.0,0,0,1,0,0
126.685000,0.0,0.0,3200.0,0,0,0,0,1
127.678333,300.0,300.0,3200.0,0,0,1,0,0
127.685000,1900.0,1900.0,3200.0,0,0,5,0,0
127.747500,300.0,300.0,3200.0,0,0,1,0,0
127.761667,0.0,0.0,3200.0,0,0,0,1,1
128.676667,200.0,200.0,3200.0,0,0,1,0,0
128.801667,0.0,0.0,3200.0,0,0,0,1,1
129.801667,3600.0,3600.0,3200.0,0,0,12,0,0
129.885000,2700.0,2700.0,3200.0,0,0,9,0,0
129.926667,300.0,300.0,3200.0,0,0,1,0,0
129.928333,0.0,0.0,3200.0,0,0,0,1,1
130.928333,3600.0,3600.0,3200.0,0,0,12,0,0
131.011667,2700.0,2700.0,3200.0,0,0,9,0,0
131.053333,300.0,300.0,3200.0,0,0,1,0,0
