tag,arm,N,seed,k_active,alpha_case,alpha,energy_J,energy_kWh,saving_vs_MT100,energy_per_block_J
pilot,E50-PC100,500,6918711742289843946,500,LP10,0.1,17549999249.777794,4874.999791604942,4.2747704043222257e-08,1253571374.9841282
pilot,E50-PC100,500,6918711742289843946,500,LP25,0.25,17549999374.814827,4874.999826337452,3.5623086813707516e-08,1253571383.9153447
pilot,E50-PC100,500,6918711742289843946,500,LP50,0.5,17549999583.209885,4874.999884224968,2.3748724542471678e-08,1253571398.8007061
pilot,E50-CONV100,500,9878713980055163606,500,LP0,0.0,17550000000.0,4875.0,0.0,2507142857.142857
pilot,E50-CONV100,500,9878713980055163606,500,LP10,0.1,17550000000.0,4875.0,0.0,2507142857.142857
pilot,E50-CONV100,500,9878713980055163606,500,LP25,0.25,17550000000.0,4875.0,0.0,2507142857.142857
pilot,E50-CONV100,500,9878713980055163606,500,LP50,0.5,17550000000.0,4875.0,0.0,2507142857.142857
pilot,E50-MT100,500,9878713980055163606,500,LP0,0.0,17550000000.0,4875.0,0.0,
pilot,E50-MT100,500,9878713980055163606,500,LP10,0.1,17550000000.0,4875.0,0.0,
pilot,E50-MT100,500,9878713980055163606,500,LP25,0.25,17550000000.0,4875.0,0.0,
pilot,E50-MT100,500,9878713980055163606,500,LP50,0.5,17550000000.0,4875.0,0.0,
pilot,E50-PC10,500,9878713980055163606,50,LP0,0.0,1754999916.6419768,487.49997684499357,0.900000004749745,
pilot,E50-PC10,500,9878713980055163606,50,LP10,0.1,3334499924.9777794,926.2499791604943,0.8100000042747704,
pilot,E50-PC10,500,9878713980055163606,50,LP25,0.25,5703749937.481483,1584.3749826337455,0.6750000035623087,
pilot,E50-PC10,500,9878713980055163606,50,LP50,0.5,9652499958.320988,2681.2499884224967,0.4500000023748725,
pilot,E50-PC20,500,9878713980055163606,100,LP0,0.0,3509999833.2839537,974.9999536899871,0.8000000094994898,3509999833.2839537
pilot,E50-PC20,500,9878713980055163606,100,LP10,0.1,4913999849.955558,1364.9999583209883,0.7200000085495408,4913999849.955558
pilot,E50-PC20,500,9878713980055163606,100,LP25,0.25,7019999874.962965,1949.9999652674903,0.6000000071246174,7019999874.962965
pilot,E50-PC20,500,9878713980055163606,100,LP50,0.5,10529999916.641975,2924.999976844993,0.40000000474974495,10529999916.641975
pilot,E50-PC30,500,9878713980055163606,150,LP0,0.0,5264999749.925931,1462.4999305349809,0.7000000142492346,2632499874.9629655
pilot,E50-PC30,500,9878713980055163606,150,LP10,0.1,6493499774.933338,1803.749937481483,0.6300000128243113,3246749887.466669
pilot,E50-PC30,500,9878713980055163606,150,LP25,0.25,8336249812.444449,2315.624947901236,0.5250000106869259,4168124906.2222247
pilot,E50-PC30,500,9878713980055163606,150,LP50,0.5,11407499874.962967,3168.749965267491,0.3500000071246173,5703749937.481483
pilot,E50-PC40,500,9878713980055163606,200,LP0,0.0,7019999666.567907,1949.9999073799743,0.6000000189989796,3509999833.2839537
pilot,E50-PC40,500,9878713980055163606,200,LP10,0.1,8072999699.911116,2242.4999166419766,0.5400000170990817,4036499849.955558
pilot,E50-PC40,500,9878713980055163606,200,LP25,0.25,9652499749.92593,2681.2499305349806,0.45000001424923475,4826249874.962965
