tag,arm,N,seed,k_active,coverage_retention,block_ratio,median_latency_ratio,saving_LP0,saving_LP10,saving_LP25,saving_LP50
primary,E50-CONV100,100,3678478102310266571,100,99.9999998439963,NA,NA,0.0,0.0,0.0,0.0
primary,E50-PC10,100,3678478102310266571,10,9.999999975086405,NA,NA,0.9000000000931323,0.810000000083819,0.6750000000698492,0.45000000004656615
primary,E50-PC20,100,3678478102310266571,20,19.99999995017281,NA,NA,0.8000000001862645,0.7200000001676381,0.6000000001396983,0.4000000000931323
primary,E50-PC30,100,3678478102310266571,30,29.999999925259218,NA,NA,0.7000000002793967,0.6300000002514571,0.5250000002095476,0.35000000013969834
primary,E50-PC40,100,3678478102310266571,40,39.99999990034562,NA,NA,0.600000000372529,0.5400000003352762,0.4500000002793968,0.3000000001862646
primary,E50-PC50,100,3678478102310266571,50,49.99999987543203,NA,NA,0.5000000004656613,0.45000000041909516,0.37500000034924597,0.25000000023283064
primary,E50-PC60,100,3678478102310266571,60,59.999999850518435,NA,NA,0.4000000005587935,0.36000000050291414,0.30000000041909514,0.2000000002793968
primary,E50-PC80,100,3678478102310266571,80,79.99999980069124,NA,NA,0.20000000074505808,0.18000000067055233,0.15000000055879348,0.1000000003725291
primary,E50-PC100,100,3678478102310266571,100,99.99999975086406,NA,NA,9.313225746154785e-10,8.381902949494702e-10,6.984920419839113e-10,4.656612873077393e-10
primary,E50-CONV100,100,876786005621288851,100,99.9999998439963,NA,NA,0.0,0.0,0.0,0.0
primary,E50-PC10,100,876786005621288851,10,9.999999975086405,NA,NA,0.9000000000931323,0.810000000083819,0.6750000000698492,0.45000000004656615
primary,E50-PC20,100,876786005621288851,20,19.99999995017281,NA,NA,0.8000000001862645,0.7200000001676381,0.6000000001396983,0.4000000000931323
primary,E50-PC30,100,876786005621288851,30,29.999999925259218,NA,NA,0.7000000002793967,0.6300000002514571,0.5250000002095476,0.35000000013969834
primary,E50-PC40,100,876786005621288851,40,39.99999990034562,NA,NA,0.600000000372529,0.5400000003352762,0.4500000002793968,0.3000000001862646
primary,E50-PC50,100,876786005621288851,50,49.99999987543203,NA,NA,0.5000000004656613,0.45000000041909516,0.37500000034924597,0.25000000023283064
primary,E50-PC60,100,876786005621288851,60,59.999999850518435,NA,NA,0.4000000005587935,0.36000000050291414,0.30000000041909514,0.2000000002793968
primary,E50-PC80,100,876786005621288851,80,79.99999980069124,NA,NA,0.20000000074505808,0.18000000067055233,0.15000000055879348,0.1000000003725291
primary,E50-PC100,100,876786005621288851,100,99.99999975086406,NA,NA,9.313225746154785e-10,8.381902949494702e-10,6.984920419839113e-10,4.656612873077393e-10
primary,E50-CONV100,100,5865549906742908637,100,99.9999998439963,NA,NA,0.0,0.0,0.0,0.0
primary,E50-PC10,100,5865549906742908637,10,9.999999975086405,NA,NA,0.9000000000931323,0.810000000083819,0.6750000000698492,0.45000000004656615
primary,E50-PC20,100,5865549906742908637,20,19.99999995017281,NA,NA,0.8000000001862645,0.7200000001676381,0.6000000001396983,0.4000000000931323
primary,E50-PC30,100,5865549906742908637,30,29.999999925259218,NA,NA,0.7000000002793967,0.6300000002514571,0.5250000002095476,0.35000000013969834
primary,E50-PC40,100,5865549906742908637,40,39.99999990034562,NA,NA,0.600000000372529,0.5400000003352762,0.4500000002793968,0.3000000001862646
primary,E50-PC50,100,5865549906742908637,50,49.99999987543203,NA,NA,0.5000000004656613,0.45000000041909516,0.37500000034924597,0.25000000023283064
primary,E50-PC60,100,5865549906742908637,60,59.999999850518435,NA,NA,0.4000000005587935,0.36000000050291414,0.30000000041909514,0.2000000002793968
primary,E50-PC80,100,5865549906742908637,80,79.99999980069124,NA,NA,0.20000000074505808,0.18000000067055233,0.15000000055879348,0.1000000003725291
primary,E50-PC100,100,5865549906742908637,100,99.99999975086406,NA,NA,9.313225746154785e-10,8.381902949494702e-10,6.984920419839113e-10,4.656612873077393e-10
primary,E50-CONV100,100,15633523601349685045,100,99.9999998439963,NA,NA,0.0,0.0,0.0,0.0
primary,E50-PC10,100,15633523601349685045,10,9.999999975086405,NA,NA,0.9000000000931323,0.810000000083819,0.6750000000698492,0.45000000004656615
primary,E50-PC20,100,15633523601349685045,20,19.99999995017281,NA,NA,0.8000000001862645,0.7200000001676381,0.6000000001396983,0.4000000000931323
primary,E50-PC30,100,15633523601349685045,30,29.999999925259218,NA,NA,0.7000000002793967,0.6300000002514571,0.5250000002095476,0.35000000013969834
primary,E50-PC40,100,15633523601349685045,40,39.99999990034562,NA,NA,0.600000000372529,0.5400000003352762,0.4500000002793968,0.3000000001862646
primary,E50-PC50,100,15633523601349685045,50,49.99999987543203,NA,NA,0.5000000004656613,0.45000000041909516,0.37500000034924597,0.25000000023283064
primary,E50-PC60,100,15633523601349685045,60,59.999999850518435,NA,NA,0.4000000005587935,0.36000000050291414,0.30000000041909514,0.2000000002793968
