tag,arm,N,seed,k_active,accepted_blocks,mean_interval_s,median_interval_s,p95_interval_s,stale_blocks
primary,E50-CONV100,100,1326031443968983885,100,26,382.37927758420005,276.4537214024766,693.2706945168223,0
primary,E50-MT100,100,1326031443968983885,100,0,,,,0
primary,E50-PC10,100,1326031443968983885,10,3,3320.8318077855197,3011.6445861436114,3011.6445861436114,0
primary,E50-PC20,100,1326031443968983885,20,6,1180.5392125683195,1037.7282134766594,1505.8222929838385,0
primary,E50-PC30,100,1326031443968983885,30,6,787.0261417019352,691.8188089585113,1003.8815288402329,0
primary,E50-PC40,100,1326031443968983885,40,6,590.2696062325629,518.8641066913756,752.9111464077575,0
primary,E50-PC50,100,1326031443968983885,50,10,956.5050191195788,415.09128543399436,1386.5413903383655,0
primary,E50-PC60,100,1326031443968983885,60,13,734.0262559984384,398.44200214962285,1155.4511585880964,0
primary,E50-PC80,100,1326031443968983885,80,20,496.977357887386,345.56715203300575,866.5883689890134,0
primary,E50-PC100,100,1326031443968983885,100,26,382.37927793783484,276.4537216442746,693.2706951092777,0
primary,E50-CONV100,100,8177548632312565564,100,18,549.0433809829439,277.0691908722208,1612.6023351846845,0
primary,E50-MT100,100,8177548632312565564,100,0,,,,0
primary,E50-PC10,100,8177548632312565564,10,1,9392.854155098476,9392.854155098476,9392.854155098476,0
primary,E50-PC20,100,8177548632312565564,20,3,1881.8606649845285,741.906608767963,741.906608767963,0
primary,E50-PC30,100,8177548632312565564,30,4,2284.7656130660016,1812.7778954628088,3130.9513850075464,0
primary,E50-PC40,100,8177548632312565564,40,6,1648.2547018282423,1517.6156857495203,2348.2135388321954,0
primary,E50-PC50,100,8177548632312565564,50,9,1079.8822923954067,1199.2406592932946,1878.5708309290035,0
primary,E50-PC60,100,8177548632312565564,60,9,899.9019103361874,999.3672161195932,1565.4756924123499,0
primary,E50-PC80,100,8177548632312565564,80,16,560.3545842187884,322.9538876248936,1439.7411787293117,0
primary,E50-PC100,100,8177548632312565564,100,18,549.0433814903797,277.06919113372174,1612.60233683658,0
primary,E50-CONV100,100,11117893399474783980,100,22,451.83620402043505,378.7368658745544,864.3883601114175,0
primary,E50-MT100,100,11117893399474783980,100,1,1483.951195428498,1483.951195428498,1483.951195428498,0
primary,E50-PC10,100,11117893399474783980,10,5,1256.6923545158088,325.37677306543713,607.2543841772836,0
primary,E50-PC20,100,11117893399474783980,20,8,833.4369084874162,301.2346840586461,2237.4245574252805,0
primary,E50-PC30,100,11117893399474783980,30,11,881.8271391184912,319.44695817014303,2376.148604944431,0
primary,E50-PC40,100,11117893399474783980,40,12,702.4675066755705,367.1670212964209,1782.1114537069311,0
primary,E50-PC50,100,11117893399474783980,50,14,642.0366403973004,455.9236194286864,1535.7036732092097,0
primary,E50-PC60,100,11117893399474783980,60,14,535.0305336362661,379.9363495219703,1279.7530610853837,0
primary,E50-PC80,100,11117893399474783980,80,19,522.4638863908593,387.48602615803793,1080.4854510115094,0
primary,E50-PC100,100,11117893399474783980,100,22,451.8362044361202,378.7368661507137,864.38836092801,0
primary,E50-CONV100,100,10081885022360105039,100,22,439.44879587079225,386.3830316097057,760.4016552923179,0
primary,E50-MT100,100,10081885022360105039,100,0,,,,0
primary,E50-PC10,100,10081885022360105039,10,2,4361.388748823376,4361.388748823376,1118.7609377361748,0
primary,E50-PC20,100,10081885022360105039,20,5,1863.8179557020437,1668.539492606164,1922.2515492333578,0
primary,E50-PC30,100,10081885022360105039,30,7,1247.811574309335,1112.3596616096813,2448.4409159309344,0
primary,E50-PC40,100,10081885022360105039,40,10,925.7001655715674,897.6977604646078,1836.3306869719258,0
primary,E50-PC50,100,10081885022360105039,50,11,800.0921138853395,768.900619565417,1469.06454957765,0
primary,E50-PC60,100,10081885022360105039,60,12,830.8201543093958,643.9717199558954,1267.33609323019,0
primary,E50-PC80,100,10081885022360105039,80,18,550.151294588969,448.8488802417586,1148.835581286591,0
primary,E50-PC100,100,10081885022360105039,100,22,439.448796265517,386.3830320280084,760.4016558341164,0
