tag,arm,N,seed,k_active,U_exact,unique_coverage_rate_per_s,coverage_retention_vs_MT100
primary,E50-PC100,100,76950829605806397,100,233999999782070517780,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,4559695916379544378,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,4559695916379544378,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,4559695916379544378,10,23399999978207051779,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,4559695916379544378,20,46799999956414103552,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,4559695916379544378,30,70199999934621155327,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,4559695916379544378,40,93599999912828207102,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,4559695916379544378,50,116999999891035258878,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,4559695916379544378,60,140399999869242310658,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,4559695916379544378,80,187199999825656414218,1.871999998256564e+16,79.99999980069124
primary,E50-PC100,100,4559695916379544378,100,233999999782070517780,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,18018684830827566070,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,18018684830827566070,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,18018684830827566070,10,23399999978207051779,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,18018684830827566070,20,46799999956414103551,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,18018684830827566070,30,70199999934621155328,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,18018684830827566070,40,93599999912828207103,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,18018684830827566070,50,116999999891035258878,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,18018684830827566070,60,140399999869242310663,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,18018684830827566070,80,187199999825656414213,1.871999998256564e+16,79.99999980069124
