tag,arm,N,seed,k_active,C_total,U_exact,R_exact,rho_exact
primary,E50-MT100,100,4923552916831257795,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,4923552916831257795,10,23399999978207051779,23399999978207051779,0,0.0
primary,E50-PC20,100,4923552916831257795,20,46799999956414103552,46799999956414103552,0,0.0
primary,E50-PC30,100,4923552916831257795,30,70199999934621155327,70199999934621155327,0,0.0
primary,E50-PC40,100,4923552916831257795,40,93599999912828207105,93599999912828207105,0,0.0
primary,E50-PC50,100,4923552916831257795,50,116999999891035258880,116999999891035258880,0,0.0
primary,E50-PC60,100,4923552916831257795,60,140399999869242310667,140399999869242310667,0,0.0
primary,E50-PC80,100,4923552916831257795,80,187199999825656414230,187199999825656414230,0,0.0
primary,E50-PC100,100,4923552916831257795,100,233999999782070517780,233999999782070517780,0,0.0
primary,E50-CONV100,100,6572291145813621428,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,6572291145813621428,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,6572291145813621428,10,23399999978207051779,23399999978207051779,0,0.0
primary,E50-PC20,100,6572291145813621428,20,46799999956414103551,46799999956414103551,0,0.0
primary,E50-PC30,100,6572291145813621428,30,70199999934621155326,70199999934621155326,0,0.0
primary,E50-PC40,100,6572291145813621428,40,93599999912828207104,93599999912828207104,0,0.0
primary,E50-PC50,100,6572291145813621428,50,116999999891035258878,116999999891035258878,0,0.0
primary,E50-PC60,100,6572291145813621428,60,140399999869242310660,140399999869242310660,0,0.0
primary,E50-PC80,100,6572291145813621428,80,187199999825656414213,187199999825656414213,0,0.0
primary,E50-PC100,100,6572291145813621428,100,233999999782070517760,233999999782070517760,0,0.0
primary,E50-CONV100,100,17112478889879003015,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,17112478889879003015,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,17112478889879003015,10,23399999978207051779,23399999978207051779,0,0.0
primary,E50-PC20,100,17112478889879003015,20,46799999956414103551,46799999956414103551,0,0.0
primary,E50-PC30,100,17112478889879003015,30,70199999934621155327,70199999934621155327,0,0.0
primary,E50-PC40,100,17112478889879003015,40,93599999912828207103,93599999912828207103,0,0.0
primary,E50-PC50,100,17112478889879003015,50,116999999891035258880,116999999891035258880,0,0.0
primary,E50-PC60,100,17112478889879003015,60,140399999869242310662,140399999869242310662,0,0.0
primary,E50-PC80,100,17112478889879003015,80,187199999825656414229,187199999825656414229,0,0.0
primary,E50-PC100,100,17112478889879003015,100,233999999782070517788,233999999782070517788,0,0.0
primary,E50-CONV100,100,9839921138141735050,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,9839921138141735050,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,9839921138141735050,10,23399999978207051782,23399999978207051782,0,0.0
primary,E50-PC20,100,9839921138141735050,20,46799999956414103552,46799999956414103552,0,0.0
primary,E50-PC30,100,9839921138141735050,30,70199999934621155329,70199999934621155329,0,0.0
primary,E50-PC40,100,9839921138141735050,40,93599999912828207110,93599999912828207110,0,0.0
primary,E50-PC50,100,9839921138141735050,50,116999999891035258876,116999999891035258876,0,0.0
primary,E50-PC60,100,9839921138141735050,60,140399999869242310656,140399999869242310656,0,0.0
primary,E50-PC80,100,9839921138141735050,80,187199999825656414212,187199999825656414212,0,0.0
primary,E50-PC100,100,9839921138141735050,100,233999999782070517768,233999999782070517768,0,0.0
primary,E50-CONV100,100,76950829605806397,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,76950829605806397,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,76950829605806397,10,23399999978207051779,23399999978207051779,0,0.0
primary,E50-PC20,100,76950829605806397,20,46799999956414103553,46799999956414103553,0,0.0
primary,E50-PC30,100,76950829605806397,30,70199999934621155328,70199999934621155328,0,0.0
primary,E50-PC40,100,76950829605806397,40,93599999912828207109,93599999912828207109,0,0.0
primary,E50-PC50,100,76950829605806397,50,116999999891035258882,116999999891035258882,0,0.0
primary,E50-PC60,100,76950829605806397,60,140399999869242310664,140399999869242310664,0,0.0
primary,E50-PC80,100,76950829605806397,80,187199999825656414230,187199999825656414230,0,0.0
primary,E50-PC100,100,76950829605806397,100,233999999782070517780,233999999782070517780,0,0.0
primary,E50-CONV100,100,4559695916379544378,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,4559695916379544378,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,4559695916379544378,10,23399999978207051779,23399999978207051779,0,0.0
primary,E50-PC20,100,4559695916379544378,20,46799999956414103552,46799999956414103552,0,0.0
primary,E50-PC30,100,4559695916379544378,30,70199999934621155327,70199999934621155327,0,0.0
primary,E50-PC40,100,4559695916379544378,40,93599999912828207102,93599999912828207102,0,0.0
primary,E50-PC50,100,4559695916379544378,50,116999999891035258878,116999999891035258878,0,0.0
primary,E50-PC60,100,4559695916379544378,60,140399999869242310658,140399999869242310658,0,0.0
primary,E50-PC80,100,4559695916379544378,80,187199999825656414218,187199999825656414218,0,0.0
primary,E50-PC100,100,4559695916379544378,100,233999999782070517780,233999999782070517780,0,0.0
primary,E50-CONV100,100,18018684830827566070,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,18018684830827566070,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,18018684830827566070,10,23399999978207051779,23399999978207051779,0,0.0
primary,E50-PC20,100,18018684830827566070,20,46799999956414103551,46799999956414103551,0,0.0
primary,E50-PC30,100,18018684830827566070,30,70199999934621155328,70199999934621155328,0,0.0
primary,E50-PC40,100,18018684830827566070,40,93599999912828207103,93599999912828207103,0,0.0
primary,E50-PC50,100,18018684830827566070,50,116999999891035258878,116999999891035258878,0,0.0
primary,E50-PC60,100,18018684830827566070,60,140399999869242310663,140399999869242310663,0,0.0
primary,E50-PC80,100,18018684830827566070,80,187199999825656414213,187199999825656414213,0,0.0
primary,E50-PC100,100,18018684830827566070,100,233999999782070517772,233999999782070517772,0,0.0
primary,E50-CONV100,100,11415035473929976970,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,11415035473929976970,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,11415035473929976970,10,23399999978207051782,23399999978207051782,0,0.0
primary,E50-PC20,100,11415035473929976970,20,46799999956414103554,46799999956414103554,0,0.0
primary,E50-PC30,100,11415035473929976970,30,70199999934621155337,70199999934621155337,0,0.0
primary,E50-PC40,100,11415035473929976970,40,93599999912828207111,93599999912828207111,0,0.0
primary,E50-PC50,100,11415035473929976970,50,116999999891035258890,116999999891035258890,0,0.0
primary,E50-PC60,100,11415035473929976970,60,140399999869242310672,140399999869242310672,0,0.0
primary,E50-PC80,100,11415035473929976970,80,187199999825656414232,187199999825656414232,0,0.0
primary,E50-PC100,100,11415035473929976970,100,233999999782070517800,233999999782070517800,0,0.0
primary,E50-CONV100,100,5972818461147421061,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,5972818461147421061,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,5972818461147421061,10,23399999978207051779,23399999978207051779,0,0.0
primary,E50-PC20,100,5972818461147421061,20,46799999956414103552,46799999956414103552,0,0.0
primary,E50-PC30,100,5972818461147421061,30,70199999934621155327,70199999934621155327,0,0.0
primary,E50-PC40,100,5972818461147421061,40,93599999912828207107,93599999912828207107,0,0.0
primary,E50-PC50,100,5972818461147421061,50,116999999891035258880,116999999891035258880,0,0.0
primary,E50-PC60,100,5972818461147421061,60,140399999869242310665,140399999869242310665,0,0.0
primary,E50-PC80,100,5972818461147421061,80,187199999825656414217,187199999825656414217,0,0.0
primary,E50-PC100,100,5972818461147421061,100,233999999782070517776,233999999782070517776,0,0.0
primary,E50-CONV100,100,11677511577610847452,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,11677511577610847452,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,11677511577610847452,10,23399999978207051779,23399999978207051779,0,0.0
primary,E50-PC20,100,11677511577610847452,20,46799999956414103553,46799999956414103553,0,0.0
primary,E50-PC30,100,11677511577610847452,30,70199999934621155330,70199999934621155330,0,0.0
primary,E50-PC40,100,11677511577610847452,40,93599999912828207108,93599999912828207108,0,0.0
primary,E50-PC50,100,11677511577610847452,50,116999999891035258884,116999999891035258884,0,0.0
primary,E50-PC60,100,11677511577610847452,60,140399999869242310668,140399999869242310668,0,0.0
primary,E50-PC80,100,11677511577610847452,80,187199999825656414223,187199999825656414223,0,0.0
