tag,arm,N,seed,k_active,rounds,accepted_blocks,C_total,U_exact,R_exact,rho_exact,t_active_miner_s,t_low_miner_s,F_low,epochs_completed,exhaustions,state_time_conservation_rel,work_identity_rel
primary,E50-PC40,100,4972874671198070758,40,9,8,93599999912828207107,93599999912828207107,0,0.0,399999.99962747097,600000.000372529,0.600000000372529,54482370559,2179294822360,0.0,0.0
primary,E50-PC50,100,4972874671198070758,50,9,8,116999999891035258878,116999999891035258878,0,0.0,499999.9995343387,500000.0004656613,0.5000000004656613,54482370561,2724118528050,0.0,0.0
primary,E50-PC60,100,4972874671198070758,60,10,9,140399999869242310660,140399999869242310660,0,0.0,599999.9994412065,400000.00055879354,0.40000000055879353,54482370560,3268942233600,0.0,0.0
primary,E50-PC80,100,4972874671198070758,80,14,13,187199999825656414216,187199999825656414216,0,0.0,799999.9992549419,200000.00074505806,0.20000000074505805,54482370558,4358589644640,0.0,0.0
primary,E50-PC100,100,4972874671198070758,100,20,19,233999999782070517776,233999999782070517776,0,0.0,999999.9990686774,0.0009313225736068376,9.313225736068376e-10,54482370556,5448237055600,0.0,0.0
primary,E50-CONV100,100,15110839482730944980,100,7,6,234000000000000000000,234000000000000000000,0,0.0,1000000.0,0.0,0.0,54482370300,54482370300,0.0,0.0
primary,E50-MT100,100,15110839482730944980,100,1,0,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,1000000.0,0.0,0.0,544823706,54482370600,0.0,0.0
primary,E50-PC10,100,15110839482730944980,10,2,1,23399999978207051780,23399999978207051780,0,0.0,99999.99990686774,900000.0000931323,0.9000000000931323,54482370564,544823705640,0.0,0.0
primary,E50-PC20,100,15110839482730944980,20,3,2,46799999956414103552,46799999956414103552,0,0.0,199999.99981373549,800000.0001862645,0.8000000001862645,54482370563,1089647411260,0.0,0.0
primary,E50-PC30,100,15110839482730944980,30,4,3,70199999934621155327,70199999934621155327,0,0.0,299999.9997206032,700000.0002793968,0.7000000002793968,54482370562,1634471116860,0.0,0.0
primary,E50-PC40,100,15110839482730944980,40,4,3,93599999912828207103,93599999912828207103,0,0.0,399999.99962747097,600000.000372529,0.600000000372529,54482370563,2179294822520,0.0,0.0
primary,E50-PC50,100,15110839482730944980,50,4,3,116999999891035258876,116999999891035258876,0,0.0,499999.9995343387,500000.0004656613,0.5000000004656613,54482370562,2724118528100,0.0,0.0
primary,E50-PC60,100,15110839482730944980,60,4,3,140399999869242310655,140399999869242310655,0,0.0,599999.9994412065,400000.00055879354,0.40000000055879353,54482370562,3268942233720,0.0,0.0
primary,E50-PC80,100,15110839482730944980,80,5,4,187199999825656414207,187199999825656414207,0,0.0,799999.9992549419,200000.00074505806,0.20000000074505805,54482370561,4358589644880,0.0,0.0
primary,E50-PC100,100,15110839482730944980,100,7,6,233999999782070517756,233999999782070517756,0,0.0,999999.9990686774,0.0009313225736923077,9.313225736923077e-10,54482370561,5448237056100,0.0,0.0
primary,E50-CONV100,100,8623653743411919337,100,16,15,234000000000000000000,234000000000000000000,0,0.0,1000000.0,0.0,0.0,54482369800,54482369800,0.0,0.0
primary,E50-MT100,100,8623653743411919337,100,1,0,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,1000000.0,0.0,0.0,544823706,54482370600,0.0,0.0
primary,E50-PC10,100,8623653743411919337,10,5,4,23399999978207051781,23399999978207051781,0,0.0,99999.99990686774,900000.0000931323,0.9000000000931323,54482370562,544823705620,0.0,0.0
primary,E50-PC20,100,8623653743411919337,20,7,6,46799999956414103552,46799999956414103552,0,0.0,199999.99981373549,800000.0001862645,0.8000000001862645,54482370561,1089647411220,0.0,0.0
primary,E50-PC30,100,8623653743411919337,30,7,6,70199999934621155328,70199999934621155328,0,0.0,299999.9997206032,700000.0002793968,0.7000000002793968,54482370561,1634471116830,0.0,0.0
primary,E50-PC40,100,8623653743411919337,40,9,8,93599999912828207108,93599999912828207108,0,0.0,399999.99962747097,600000.000372529,0.600000000372529,54482370560,2179294822400,0.0,0.0
primary,E50-PC50,100,8623653743411919337,50,9,8,116999999891035258878,116999999891035258878,0,0.0,499999.9995343387,500000.0004656613,0.5000000004656613,54482370561,2724118528050,0.0,0.0
primary,E50-PC60,100,8623653743411919337,60,13,12,140399999869242310664,140399999869242310664,0,0.0,599999.9994412065,400000.00055879354,0.40000000055879353,54482370558,3268942233480,0.0,0.0
