tag,arm,N,seed,k_active,epochs_completed,exhaustions,unique_per_epoch,epoch_seconds
primary,E50-PC80,100,10081885022360105039,80,54482370556,4358589644480,3435973837.321228,1.835456111389545e-07
primary,E50-PC100,100,10081885022360105039,100,54482370555,5448237055500,4294967296.730368,1.8354561114232339e-07
primary,E50-CONV100,100,4923552916831257795,100,54482369800,54482369800,4294967360.24871,1.8354561368584228e-07
primary,E50-MT100,100,4923552916831257795,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,4923552916831257795,10,54482370564,544823705640,429496729.60208774,1.835456111120033e-07
primary,E50-PC20,100,4923552916831257795,20,54482370563,1089647411260,858993459.2199419,1.835456111153722e-07
primary,E50-PC30,100,4923552916831257795,30,54482370563,1634471116890,1288490188.829913,1.835456111153722e-07
primary,E50-PC40,100,4923552916831257795,40,54482370562,2179294822480,1717986918.4714167,1.835456111187411e-07
primary,E50-PC50,100,4923552916831257795,50,54482370560,2724118528000,2147483648.168103,1.835456111254789e-07
primary,E50-PC60,100,4923552916831257795,60,54482370558,3268942233480,2576980377.8963223,1.835456111322167e-07
primary,E50-PC80,100,4923552916831257795,80,54482370554,4358589644320,3435973837.4473596,1.835456111456923e-07
primary,E50-PC100,100,4923552916831257795,100,54482370555,5448237055500,4294967296.730368,1.8354561114232339e-07
primary,E50-CONV100,100,6572291145813621428,100,54482370300,54482370300,4294967320.832588,1.8354561200139267e-07
primary,E50-MT100,100,6572291145813621428,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,6572291145813621428,10,54482370564,544823705640,429496729.60208774,1.835456111120033e-07
primary,E50-PC20,100,6572291145813621428,20,54482370564,1089647411280,858993459.2041755,1.835456111120033e-07
primary,E50-PC30,100,6572291145813621428,30,54482370563,1634471116890,1288490188.829913,1.835456111153722e-07
primary,E50-PC40,100,6572291145813621428,40,54482370563,2179294822520,1717986918.4398837,1.835456111153722e-07
primary,E50-PC50,100,6572291145813621428,50,54482370561,2724118528050,2147483648.128687,1.8354561112211e-07
