N,metric,family,n_pairs,mean_control,mean_treatment,mean_difference,median_difference,sd_difference,iqr_difference,q1_difference,q3_difference,ci95_mean_low,ci95_mean_high,ci95_median_low,ci95_median_high,relative_difference,n_negative,n_zero,n_positive,shapiro_p,normality_ok,ttest_t,ttest_p,wilcoxon_W,wilcoxon_p,recommended_test,recommended_p,p_holm,cohen_dz,rank_biserial
400,median_block_interval,latency,30,431.84948752498747,426.9641791535398,-4.885308371447632,0.0,20.14100668755289,0.0,0.0,0.0,-12.40608386906581,2.635467126170547,0.0,0.0,-0.011312525573310911,3,20,7,1.370063272743565e-10,False,-1.3285302154555816,0.1943633175765987,26.0,0.8784817434328712,Wilcoxon signed-rank,0.8784817434328712,0.8784817434328712,-0.24255532244407352,0.05454545454545454
400,energy_kWh_LP0,energy_LP0,30,3900.0,3890.949235254045,-9.05076474595459,-9.030215417647014,2.3105431665813363,2.901584914691739,-10.402726845005418,-7.501141930313679,-9.913535743600553,-8.187993748308626,-9.988357193257798,-8.130018500306733,-0.0023207089092191257,30,0,0,0.9929406403492567,True,-21.455162949267212,2.4266498726904615e-19,0.0,1.862645149230957e-09,paired t-test,2.4266498726904615e-19,3.8976946576588207e-19,-3.917158907420907,-1.0
400,energy_kWh_LP10,energy_LP10,30,3900.0,3891.8543117286413,-8.145688271359147,-8.127193875882085,2.079488849923224,2.6114264232222695,-9.36245416050474,-6.75102773728247,-8.922182169240521,-7.369194373477772,-8.989521473931745,-7.317016650275946,-0.002088638018297217,30,0,0,0.9929406403492345,True,-21.455162949267038,2.4266498726910007e-19,0.0,1.862645149230957e-09,paired t-test,2.4266498726910007e-19,3.897694657653771e-19,-3.9171589074208746,-1.0
400,energy_kWh_LP25,energy_LP25,30,3900.0,3893.211926440534,-6.788073559465874,-6.7726615632352605,1.7329073749360517,2.1761886860180084,-7.80204513375395,-5.625856447735941,-7.4351518077003655,-6.140995311231383,-7.491267894942894,-6.097513875229879,-0.0017405316819143267,30,0,0,0.9929406403492129,True,-21.45516294926638,2.4266498726930307e-19,0.0,1.862645149230957e-09,paired t-test,2.4266498726930307e-19,3.897694657641542e-19,-3.9171589074207556,-1.0
400,energy_kWh_LP50,energy_LP50,30,3900.0,3895.474617627023,-4.525382372977492,-4.51510770882328,1.1552715832908547,1.4507924573458695,-5.201363422502368,-3.7505709651564985,-4.956767871800544,-4.09399687415444,-4.994178596627762,-4.065009250153935,-0.0011603544546096134,30,0,0,0.9929406403490674,True,-21.455162949264686,2.4266498726982745e-19,0.0,1.862645149230957e-09,paired t-test,2.4266498726982745e-19,3.8976946576157405e-19,-3.917158907420445,-1.0
500,accepted_blocks,service,30,16.933333333333334,16.9,-0.03333333333333333,0.0,0.18257418583505533,0.0,0.0,0.0,-0.10150765473775675,0.03484098807109009,0.0,0.0,-0.001968503937007874,1,29,0,7.76637667465555e-12,False,-1.0000000000000002,0.3255819880161935,0.0,0.31731050786291415,Wilcoxon signed-rank,0.31731050786291415,0.6346210157258283,-0.1825741858350554,-1.0
500,total_evaluations,work,30,1.1699999999999999e+21,1.1669948760907341e+21,-3.0051239092659246e+18,-3.0179076495260385e+18,7.610429982824216e+17,9.79893312636584e+17,-3.4454592531764347e+18,-2.465565940539851e+18,-3.289302035161365e+18,-2.720945783370484e+18,-3.348459634439815e+18,-2.562224393318266e+18,-0.00256848197373156,30,0,0,0.3180733534735092,True,-21.627873285974797,1.9488473288486518e-19,0.0,1.862645149230957e-09,paired t-test,1.9488473288486518e-19,3.8976946576973036e-19,-3.9486913565305923,-1.0
500,unique_evaluations,work,30,1.1699999999999999e+21,1.1669948760907341e+21,-3.0051239092659246e+18,-3.0179076495260385e+18,7.610429982824216e+17,9.79893312636584e+17,-3.4454592531764347e+18,-2.465565940539851e+18,-3.289302035161365e+18,-2.720945783370484e+18,-3.348459634439815e+18,-2.562224393318266e+18,-0.00256848197373156,30,0,0,0.3180733534735092,True,-21.627873285974797,1.9488473288486518e-19,0.0,1.862645149230957e-09,paired t-test,1.9488473288486518e-19,3.8976946576973036e-19,-3.9486913565305923,-1.0
500,duplicate_evaluations,work,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,30,0,,False,,,,,Wilcoxon signed-rank,,0.0,,0.0
500,active_miner_seconds,active_time,30,5000000.0,4987157.590131341,-12842.40986865877,-12897.04123729188,3252.320505479446,4187.578259125818,-14724.18484263448,-10536.606583508663,-14056.846304109,-11627.973433208539,-14309.656557437498,-10949.676894526057,-0.0025684819737317537,30,0,0,0.31807335347197296,True,-21.627873285983,1.9488473288284284e-19,0.0,1.862645149230957e-09,paired t-test,1.9488473288284284e-19,3.8976946576568567e-19,-3.9486913565320907,-1.0
500,median_block_interval,latency,30,430.18657335669144,429.3647615610622,-0.8218117956291887,0.0,13.093725338179194,0.0,0.0,0.0,-5.711089189930327,4.06746559867195,0.0,0.0,-0.0019103613327972912,3,20,7,1.9209554739858283e-10,False,-0.3437714224670962,0.7334982836669776,15.0,0.20262160771231197,Wilcoxon signed-rank,0.20262160771231197,0.40524321542462394,-0.06276378757028894,0.45454545454545453
500,energy_kWh_LP0,energy_LP0,30,4875.0,4862.478650378058,-12.52134962194238,-12.57461520635934,3.1710124928425385,4.082888802647858,-14.356080221568845,-10.273191418920987,-13.705425146506384,-11.337274097378375,-13.951915143501537,-10.675934972163123,-0.00256848197373177,30,0,0,0.3180733534717437,True,-21.627873285982602,1.9488473288294103e-19,0.0,1.862645149230957e-09,paired t-test,1.9488473288294103e-19,3.8976946576588207e-19,-3.948691356532018,-1.0
500,energy_kWh_LP10,energy_LP10,30,4875.0,4863.730785340251,-11.269214659748226,-11.317153685723042,2.853911243558172,3.674599922382413,-12.920472199411961,-9.245872277029548,-12.334882631855788,-10.203546687640664,-12.556723629151293,-9.608341474947363,-0.00231163377635861,30,0,0,0.3180733534716196,True,-21.627873285983625,1.9488473288268854e-19,0.0,1.862645149230957e-09,paired t-test,1.9488473288268854e-19,3.897694657653771e-19,-3.9486913565322035,-1.0
500,energy_kWh_LP25,energy_LP25,30,4875.0,4865.608987783542,-9.391012216457117,-9.430961404769278,2.3782593696316034,3.0621666019840177,-10.767060166176861,-7.704893564192844,-10.279068859880008,-8.502955573034226,-10.463936357626608,-8.00695122912324,-0.0019263614802988958,30,0,0,0.31807335347134214,True,-21.627873285986105,1.948847328820771e-19,0.0,1.862645149230957e-09,paired t-test,1.948847328820771e-19,3.897694657641542e-19,-3.9486913565326565,-1.0
500,energy_kWh_LP50,energy_LP50,30,4875.0,4868.739325189028,-6.260674810971735,-6.28730760317967,1.5855062464207672,2.041444401321087,-7.178040110784423,-5.136595709463336,-6.85271257325355,-5.66863704868992,-6.975957571752133,-5.337967486083825,-0.001284240986865997,30,0,0,0.3180733534712665,True,-21.62787328599134,1.9488473288078703e-19,0.0,1.862645149230957e-09,paired t-test,1.9488473288078703e-19,3.8976946576157405e-19,-3.948691356533612,-1.0
