composition,N,protocol,alpha_case,alpha,is_idealized_alpha,EnergySaving_mean,EnergySaving_boot_ci_low,saving_gt_50pct,saving_gt_50pct_ci_lower,BlockRetention_mean,retention_ge_90pct,retention_ge_95pct,LatencyRatio_median,latency_le_1p10,outcome
H2,300,P0_ALL,alpha_025,0.25,False,0.001729366128043607,0.0016034192685474543,False,False,0.9953823953823954,True,True,0.9970457700167793,True,D
H2,300,P0_ALL,alpha_050,0.5,False,0.0011529107520290732,0.0010689461790316394,False,False,0.9953823953823954,True,True,0.9970457700167793,True,D
H2,300,P3_ENERGY,alpha_0,0.0,True,0.5387104596359363,0.5386517710477936,True,True,0.6441960491187171,False,False,1.7726368575761955,False,C (idealized alpha)
H2,300,P3_ENERGY,alpha_005,0.05,False,0.5117749366541395,0.5117191824954039,True,True,0.6441960491187171,False,False,1.7726368575761955,False,C
H2,300,P3_ENERGY,alpha_010,0.1,False,0.48483941367234273,0.48478659394301427,False,False,0.6441960491187171,False,False,1.7726368575761955,False,D
H2,300,P3_ENERGY,alpha_025,0.25,False,0.4040328447269522,0.40398882828584515,False,False,0.6441960491187171,False,False,1.7726368575761955,False,D
H2,300,P3_ENERGY,alpha_050,0.5,False,0.26935522981796817,0.2693258855238968,False,False,0.6441960491187171,False,False,1.7726368575761955,False,D
H2,300,P4_RESERVE,alpha_0,0.0,True,0.463039660837395,0.44678092216116827,False,False,0.5765040039553433,False,False,1.7608219375958964,False,D
H2,300,P4_RESERVE,alpha_005,0.05,False,0.4398876777955252,0.42444187605310985,False,False,0.5765040039553433,False,False,1.7608219375958964,False,D
H2,300,P4_RESERVE,alpha_010,0.1,False,0.41673569475365557,0.40210282994505137,False,False,0.5765040039553433,False,False,1.7608219375958964,False,D
H2,300,P4_RESERVE,alpha_025,0.25,False,0.3472797456280462,0.33508569162087626,False,False,0.5765040039553433,False,False,1.7608219375958964,False,D
H2,300,P4_RESERVE,alpha_050,0.5,False,0.23151983041869753,0.22339046108058414,False,False,0.5765040039553433,False,False,1.7608219375958964,False,D
H2,500,P0_ALL,alpha_0,0.0,True,0.002537089020741843,0.0023534401317482612,False,False,0.9949460125930715,True,True,0.9900913996194328,True,D
H2,500,P0_ALL,alpha_005,0.05,False,0.0024102345697047437,0.002235768125160841,False,False,0.9949460125930715,True,True,0.9900913996194328,True,D
H2,500,P0_ALL,alpha_010,0.1,False,0.0022833801186676566,0.002118096118573414,False,False,0.9949460125930715,True,True,0.9900913996194328,True,D
H2,500,P0_ALL,alpha_025,0.25,False,0.0019028167655563966,0.0017650800988112008,False,False,0.9949460125930715,True,True,0.9900913996194328,True,D
H2,500,P0_ALL,alpha_050,0.5,False,0.00126854451037096,0.0011767200658741738,False,False,0.9949460125930715,True,True,0.9900913996194328,True,D
H2,500,P3_ENERGY,alpha_0,0.0,True,0.538129871531012,0.5380675844422669,True,True,0.631473189693004,False,False,1.6250200556406633,False,C (idealized alpha)
H2,500,P3_ENERGY,alpha_005,0.05,False,0.5112233779544614,0.5111642052201536,True,True,0.631473189693004,False,False,1.6250200556406633,False,C
H2,500,P3_ENERGY,alpha_010,0.1,False,0.4843168843779108,0.4842608259980402,False,False,0.631473189693004,False,False,1.6250200556406633,False,D
H2,500,P3_ENERGY,alpha_025,0.25,False,0.403597403648259,0.4035506883317002,False,False,0.631473189693004,False,False,1.6250200556406633,False,D
H2,500,P3_ENERGY,alpha_050,0.5,False,0.269064935765506,0.26903379222113344,False,False,0.631473189693004,False,False,1.6250200556406633,False,D
H2,500,P4_RESERVE,alpha_0,0.0,True,0.46451151350433395,0.4460845260966507,False,False,0.5932926155371976,False,False,1.5736621015679524,False,D
H2,500,P4_RESERVE,alpha_005,0.05,False,0.44128593782911735,0.42378029979181814,False,False,0.5932926155371976,False,False,1.5736621015679524,False,D
H2,500,P4_RESERVE,alpha_010,0.1,False,0.4180603621539005,0.40147607348698566,False,False,0.5932926155371976,False,False,1.5736621015679524,False,D
H2,500,P4_RESERVE,alpha_025,0.25,False,0.34838363512825055,0.33456339457248807,False,False,0.5932926155371976,False,False,1.5736621015679524,False,D
H2,500,P4_RESERVE,alpha_050,0.5,False,0.23225575675216703,0.22304226304832533,False,False,0.5932926155371976,False,False,1.5736621015679524,False,D
H4,100,P0_ALL,alpha_0,0.0,True,0.001920052316703433,0.0017613562954834458,False,False,0.9969400352733686,True,True,0.9967841026610528,True,D
H4,100,P0_ALL,alpha_005,0.05,False,0.0018240497008682498,0.0016732884807092807,False,False,0.9969400352733686,True,True,0.9967841026610528,True,D
H4,100,P0_ALL,alpha_010,0.1,False,0.0017280470850330636,0.0015852206659350378,False,False,0.9969400352733686,True,True,0.9967841026610528,True,D
H4,100,P0_ALL,alpha_025,0.25,False,0.0014400392375275768,0.0013210172216125587,False,False,0.9969400352733686,True,True,0.9967841026610528,True,D
H4,100,P0_ALL,alpha_050,0.5,False,0.0009600261583517035,0.0008806781477416646,False,False,0.9969400352733686,True,True,0.9967841026610528,True,D
H4,100,P3_ENERGY,alpha_0,0.0,True,0.5184604095378506,0.5183829204774009,True,True,0.631242900546306,False,False,1.6168852206408013,False,C (idealized alpha)
H4,100,P3_ENERGY,alpha_005,0.05,False,0.49253738906095795,0.4924637744535309,False,False,0.631242900546306,False,False,1.6168852206408013,False,D
H4,100,P3_ENERGY,alpha_010,0.1,False,0.4666143685840654,0.46654462842966077,False,False,0.631242900546306,False,False,1.6168852206408013,False,D
H4,100,P3_ENERGY,alpha_025,0.25,False,0.3888453071533879,0.38878719035805076,False,False,0.631242900546306,False,False,1.6168852206408013,False,D
H4,100,P3_ENERGY,alpha_050,0.5,False,0.2592302047689253,0.2591914602387005,False,False,0.631242900546306,False,False,1.6168852206408013,False,D
H4,100,P4_RESERVE,alpha_0,0.0,True,0.4590905392644546,0.4449947210148542,False,False,0.6018019790285013,False,False,1.529448999511808,False,D
H4,100,P4_RESERVE,alpha_005,0.05,False,0.43613601230123183,0.4227449849641115,False,False,0.6018019790285013,False,False,1.529448999511808,False,D
H4,100,P4_RESERVE,alpha_010,0.1,False,0.41318148533800925,0.4004952489133688,False,False,0.6018019790285013,False,False,1.529448999511808,False,D
H4,100,P4_RESERVE,alpha_025,0.25,False,0.344317904448341,0.3337460407611406,False,False,0.6018019790285013,False,False,1.529448999511808,False,D
H4,100,P4_RESERVE,alpha_050,0.5,False,0.22954526963222724,0.22249736050742705,False,False,0.6018019790285013,False,False,1.529448999511808,False,D
H4,300,P0_ALL,alpha_0,0.0,True,0.0023000138513322465,0.0021261043334722847,False,False,1.0039351851851852,True,True,0.9903672602172439,True,D
H4,300,P0_ALL,alpha_005,0.05,False,0.0021850131587656235,0.002019799116798647,False,False,1.0039351851851852,True,True,0.9903672602172439,True,D
H4,300,P0_ALL,alpha_010,0.1,False,0.0020700124661989965,0.0019134939001250466,False,False,1.0039351851851852,True,True,0.9903672602172439,True,D
H4,300,P0_ALL,alpha_025,0.25,False,0.0017250103884992236,0.00159457825010426,False,False,1.0039351851851852,True,True,0.9903672602172439,True,D
H4,300,P0_ALL,alpha_050,0.5,False,0.0011500069256661534,0.0010630521667361493,False,False,1.0039351851851852,True,True,0.9903672602172439,True,D
H4,300,P3_ENERGY,alpha_0,0.0,True,0.5186363546458651,0.5185574383796366,True,True,0.6876701722197078,False,False,1.502325617226435,False,C (idealized alpha)
H4,300,P3_ENERGY,alpha_005,0.05,False,0.49270453691357186,0.4926295664606548,False,False,0.6876701722197078,False,False,1.502325617226435,False,D
H4,300,P3_ENERGY,alpha_010,0.1,False,0.4667727191812787,0.46670169454167293,False,False,0.6876701722197078,False,False,1.502325617226435,False,D
H4,300,P3_ENERGY,alpha_025,0.25,False,0.3889772659843989,0.3889180787847275,False,False,0.6876701722197078,False,False,1.502325617226435,False,D
H4,300,P3_ENERGY,alpha_050,0.5,False,0.25931817732293255,0.2592787191898184,False,False,0.6876701722197078,False,False,1.502325617226435,False,D
H4,300,P4_RESERVE,alpha_0,0.0,True,0.45499607646311097,0.4397362158334626,False,False,0.6278428999620951,False,False,1.8227466904795344,False,D
H4,300,P4_RESERVE,alpha_005,0.05,False,0.43224627263995546,0.4177494050417894,False,False,0.6278428999620951,False,False,1.8227466904795344,False,D
H4,300,P4_RESERVE,alpha_010,0.1,False,0.40949646881679996,0.3957625942501164,False,False,0.6278428999620951,False,False,1.8227466904795344,False,D
H4,300,P4_RESERVE,alpha_025,0.25,False,0.3412470573473333,0.329802161875097,False,False,0.6278428999620951,False,False,1.8227466904795344,False,D
H4,300,P4_RESERVE,alpha_050,0.5,False,0.22749803823155546,0.2198681079167313,False,False,0.6278428999620951,False,False,1.8227466904795344,False,D
H4,500,P0_ALL,alpha_0,0.0,True,0.0025402961281240704,0.0023661620199384014,False,False,0.9957896825396825,True,True,0.9921422522298479,True,D
H4,500,P0_ALL,alpha_005,0.05,False,0.0024132813217178765,0.002247853918941509,False,False,0.9957896825396825,True,True,0.9921422522298479,True,D
H4,500,P0_ALL,alpha_010,0.1,False,0.0022862665153116565,0.0021295458179445433,False,False,0.9957896825396825,True,True,0.9921422522298479,True,D
