composition,N,protocol,alpha_case,alpha,is_idealized_alpha,pairs,PoW_energy_kWh_mean,PoCol_energy_kWh_mean,EnergySaving_mean,EnergySaving_median,EnergySaving_sd,EnergySaving_ci95_low,EnergySaving_ci95_high,EnergySaving_boot_ci95_low,EnergySaving_boot_ci95_high,exceeds_50pct_mean,exceeds_50pct_ci_lower,exceeds_50pct_boot_ci_lower,one_sided_p_greater_50pct,seed_fraction_exceeding_50pct
H2,100,P3_ENERGY,alpha_0,0.0,True,30,913.6111111111109,426.8664677646727,0.5327700565664878,0.5327967237008597,0.00019829459568437277,0.5326960121475732,0.5328441009854024,0.532699170216448,0.532838973916273,True,True,True,2.1156405958361798e-66,1.0
H2,100,P3_ENERGY,alpha_005,0.05,False,30,913.6111111111109,451.2036999319946,0.5061315537381634,0.5061568875158168,0.00018837986590014555,0.5060612115401947,0.5062018959361322,0.5060642117056257,0.5061970252204593,True,True,True,6.0726332616936285e-46,1.0
H2,100,P3_ENERGY,alpha_010,0.1,False,30,913.6111111111109,475.5409320993166,0.47949305090983896,0.4795170513307739,0.00017846513611594417,0.4794264109328159,0.479559690886862,0.4794292531948032,0.47955507652464563,False,False,False,1.0,0.0
H2,100,P3_ENERGY,alpha_025,0.25,False,30,913.6111111111109,548.5526286012823,0.3995775424248658,0.39959754277564485,0.00014872094676329122,0.3995220091106799,0.3996330757390517,0.39952437766233584,0.3996292304372047,False,False,False,1.0,0.0
H2,100,P3_ENERGY,alpha_050,0.5,False,30,913.6111111111109,670.2387894378919,0.26638502828324384,0.26639836185042987,9.914729784219603e-05,0.26634800607378656,0.2664220504927011,0.266349585108224,0.2664194869581365,False,False,False,1.0,0.0
H2,100,P4_RESERVE,alpha_0,0.0,True,30,913.6111111111109,485.57949306503787,0.46850526754814953,0.46938897423342396,0.03488053201709256,0.4554806628395798,0.4815298722567193,0.4559643250340312,0.48066272194385334,False,False,False,0.9999852448280516,0.2
H2,100,P4_RESERVE,alpha_005,0.05,False,30,913.6111111111109,506.98107396734144,0.44508000417074206,0.4459195255217528,0.033136505416237916,0.4327066296976008,0.4574533786438833,0.43316610878232964,0.45662958584666063,False,False,False,0.999999999717431,0.03333333333333333
H2,100,P4_RESERVE,alpha_010,0.1,False,30,913.6111111111109,528.3826548696452,0.4216547407933345,0.42245007681008145,0.0313924788153833,0.4099325965556217,0.43337688503104727,0.410367892530628,0.432596449749468,False,False,False,0.999999999999982,0.0
H2,100,P4_RESERVE,alpha_025,0.25,False,30,913.6111111111109,592.5873975765563,0.3513789506611121,0.352041730675068,0.026160399012819392,0.3416104971296848,0.3611474041925394,0.3419732437755234,0.3604970414578899,False,False,False,1.0,0.0
H2,100,P4_RESERVE,alpha_050,0.5,False,30,913.6111111111109,699.5953020880745,0.23425263377407474,0.23469448711671198,0.017440266008546285,0.22774033141978986,0.2407649361283596,0.2279821625170156,0.24033136097192667,False,False,False,1.0,0.0
H2,300,P0_ALL,alpha_0,0.0,True,30,2740.8333333333326,2734.513460894294,0.002305821504058133,0.00241289200531705,0.0004844727197597124,0.002124916417407969,0.002486726590708297,0.0021378923580632598,0.002479628766912402,False,False,False,1.0,0.0
H2,300,P0_ALL,alpha_005,0.05,False,30,2740.8333333333326,2734.8294545162466,0.0021905304288552304,0.0022922474050511,0.0004602490837716999,0.0020186705965375847,0.002362390261172876,0.0020309977401601386,0.002355647328566772,False,False,False,1.0,0.0
