tag,arm,N,seed,scope,O_mean,O_median,O_p95,O_max,M_ge2,M_ge3,m_max,mean_mult_reused
primary,XNR-PW-CONV-OFFSET,100,2834549471034337693,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,2834549471034337693,subsweep,105191.03434343431,0.0,0.0,20675357.0,413887528.0,53404046.0,3.0,2.129030334057324
primary,XNR-PW-MT-ZERO,100,2834549471034337693,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-ZERO,100,2834549471034337693,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,2834549471034337693,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,2834549471034337693,subsweep,105191.03434343434,0.0,0.0,20675357.0,413887528.0,53404046.0,3.0,2.129030334057324
primary,XNR-PC,100,2834549471034337693,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PC,100,2834549471034337693,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PW-CONV-ZERO,100,17638313716927524985,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-ZERO,100,17638313716927524985,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,17638313716927524985,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,17638313716927524985,subsweep,91497.2901010101,0.0,0.0,21442900.0,365889171.0,41590501.0,4.0,2.117169283482292
primary,XNR-PW-MT-ZERO,100,17638313716927524985,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-ZERO,100,17638313716927524985,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,17638313716927524985,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,17638313716927524985,subsweep,91497.2901010101,0.0,0.0,21442900.0,365889171.0,41590501.0,4.0,2.1171692834822924
primary,XNR-PC,100,17638313716927524985,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PC,100,17638313716927524985,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PW-CONV-ZERO,100,4701815876319261908,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-ZERO,100,4701815876319261908,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,4701815876319261908,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,4701815876319261908,subsweep,132065.9080808081,0.0,0.0,20631880.0,389086812.0,98517128.0,4.0,2.3111187099294446
primary,XNR-PW-MT-ZERO,100,4701815876319261908,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-ZERO,100,4701815876319261908,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,4701815876319261908,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,4701815876319261908,subsweep,132065.9080808081,0.0,0.0,20631880.0,389086812.0,98517128.0,4.0,2.3111187099294437
primary,XNR-PC,100,4701815876319261908,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PC,100,4701815876319261908,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PW-CONV-ZERO,100,7822082833909267661,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-ZERO,100,7822082833909267661,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,7822082833909267661,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,7822082833909267661,subsweep,115566.36404040406,0.0,0.0,21466221.0,431042009.0,67494255.0,4.0,2.1612416296992527
primary,XNR-PW-MT-ZERO,100,7822082833909267661,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-ZERO,100,7822082833909267661,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,7822082833909267661,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,7822082833909267661,subsweep,115566.36404040403,0.0,0.0,21466221.0,431042009.0,67494255.0,4.0,2.1612416296992527
primary,XNR-PC,100,7822082833909267661,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PC,100,7822082833909267661,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PW-CONV-ZERO,100,12102592183121031244,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-ZERO,100,12102592183121031244,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,12102592183121031244,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,12102592183121031244,subsweep,96563.59010101015,0.0,0.0,21402281.0,371049559.0,53470106.0,3.0,2.1441050250648597
primary,XNR-PW-MT-ZERO,100,12102592183121031244,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-ZERO,100,12102592183121031244,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,12102592183121031244,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,12102592183121031244,subsweep,96563.59010101011,0.0,0.0,21402281.0,371049559.0,53470106.0,3.0,2.1441050250648592
primary,XNR-PC,100,12102592183121031244,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PC,100,12102592183121031244,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PW-CONV-ZERO,100,4849566379269777204,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
