tag,arm,N,seed,template_epochs_completed,nonce_domain_exhaustions,nonce_resets
primary,XNR-PW-MT-OFFSET,200,10419287363523441034,544823706,108964741200,0
primary,XNR-PC,200,10419287363523441034,108964738586,21792947717200,21792947717200
primary,XNR-PW-CONV-ZERO,200,9964858435511495645,108964739400,108964739400,108964742800
primary,XNR-PW-CONV-OFFSET,200,9964858435511495645,108964739400,108964739400,0
primary,XNR-PW-MT-ZERO,200,9964858435511495645,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,9964858435511495645,544823706,108964741200,0
primary,XNR-PC,200,9964858435511495645,108964738583,21792947716600,21792947716600
primary,XNR-PW-CONV-ZERO,200,12980243426712185825,108964739800,108964739800,108964743600
primary,XNR-PW-CONV-OFFSET,200,12980243426712185825,108964739800,108964739800,0
primary,XNR-PW-MT-ZERO,200,12980243426712185825,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,12980243426712185825,544823706,108964741200,0
primary,XNR-PC,200,12980243426712185825,108964738581,21792947716200,21792947716200
primary,XNR-PW-CONV-ZERO,200,2834549471034337693,108964738800,108964738800,108964742800
primary,XNR-PW-CONV-OFFSET,200,2834549471034337693,108964738800,108964738800,0
primary,XNR-PW-MT-ZERO,200,2834549471034337693,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,2834549471034337693,544823706,108964741200,0
primary,XNR-PC,200,2834549471034337693,108964738581,21792947716200,21792947716200
primary,XNR-PW-CONV-ZERO,200,17638313716927524985,108964740200,108964740200,108964742400
primary,XNR-PW-CONV-OFFSET,200,17638313716927524985,108964740200,108964740200,0
primary,XNR-PW-MT-ZERO,200,17638313716927524985,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,17638313716927524985,544823706,108964741200,0
primary,XNR-PC,200,17638313716927524985,108964738587,21792947717400,21792947717400
primary,XNR-PW-CONV-ZERO,200,4701815876319261908,108964739600,108964739600,108964742800
primary,XNR-PW-CONV-OFFSET,200,4701815876319261908,108964739600,108964739600,0
primary,XNR-PW-MT-ZERO,200,4701815876319261908,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,4701815876319261908,544823706,108964741200,0
primary,XNR-PC,200,4701815876319261908,108964738584,21792947716800,21792947716800
primary,XNR-PW-CONV-ZERO,200,7822082833909267661,108964738800,108964738800,108964743000
primary,XNR-PW-CONV-OFFSET,200,7822082833909267661,108964738800,108964738800,0
primary,XNR-PW-MT-ZERO,200,7822082833909267661,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,7822082833909267661,544823706,108964741200,0
primary,XNR-PC,200,7822082833909267661,108964738578,21792947715600,21792947715600
primary,XNR-PW-CONV-ZERO,200,12102592183121031244,108964739200,108964739200,108964743600
primary,XNR-PW-CONV-OFFSET,200,12102592183121031244,108964739200,108964739200,0
primary,XNR-PW-MT-ZERO,200,12102592183121031244,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,12102592183121031244,544823706,108964741200,0
primary,XNR-PC,200,12102592183121031244,108964738578,21792947715600,21792947715600
primary,XNR-PW-CONV-ZERO,200,4849566379269777204,108964739400,108964739400,108964743000
primary,XNR-PW-CONV-OFFSET,200,4849566379269777204,108964739400,108964739400,0
primary,XNR-PW-MT-ZERO,200,4849566379269777204,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,4849566379269777204,544823706,108964741200,0
primary,XNR-PC,200,4849566379269777204,108964738582,21792947716400,21792947716400
primary,XNR-PW-CONV-ZERO,200,4171531546602603804,108964739200,108964739200,108964742600
primary,XNR-PW-CONV-OFFSET,200,4171531546602603804,108964739200,108964739200,0
